,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total,procedural_cost_excl_pres,totalvotes,num_counties,prep_cost_total,central_cost_total,cost_total,cost_total_excl_pres
0,2000,NEW MEXICO,NM,165.0,86.62,30.0,15.75,11449.0,6010.72,11644.0,6113.09,102.37,587514.0,33,7954.776,33580,47647.87,41637.146
1,2002,NEW MEXICO,NM,122.0,64.05,24.0,12.6,0.0,0.0,146.0,76.64999999999999,76.64999999999999,437495.0,33,7354.700000000001,33580,41011.35,41011.35
2,2004,NEW MEXICO,NM,134.0,70.36,0.0,0.0,885.0,464.62,1019.0,534.98,70.36,742899.0,33,8576.316,33580,42691.3,42226.676
3,2006,NEW MEXICO,NM,1803.0,946.58,17.0,8.92,0.0,0.0,1820.0,955.5,955.5,561084.0,33,7849.0560000000005,33580,42384.56,42384.556
4,2008,NEW MEXICO,NM,148.0,77.71,31.0,16.27,47.0,24.67,226.0,118.64999999999999,93.97999999999999,814566.0,33,8862.984,33580,42561.63,42536.964
5,2010,NEW MEXICO,NM,311.0,163.28,0.0,0.0,0.0,0.0,311.0,163.28,163.28,596651.0,33,7991.3240000000005,33580,41734.6,41734.604
6,2012,NEW MEXICO,NM,105.0,55.12,123.0,64.57,69.0,36.22,297.0,155.91,119.69,766090.0,33,8669.08,33580,42404.99,42368.770000000004
7,2014,NEW MEXICO,NM,97.0,50.91,63.0,33.07,0.0,0.0,160.0,83.97999999999999,83.97999999999999,511885.0,33,7652.26,33580,41316.24,41316.240000000005
8,2016,NEW MEXICO,NM,81.0,42.52,0.0,0.0,86.0,45.15,167.0,87.67,42.52,780126.0,33,8725.224,33580,42392.89,42347.744
9,2018,NEW MEXICO,NM,442.0,232.04,18.0,9.45,0.0,0.0,460.0,241.48999999999998,241.48999999999998,693311.0,33,8377.964,33580,42199.45,42199.454
10,2020,NEW MEXICO,NM,179.0,93.98,80.0,42.0,65.0,34.12,324.0,170.10000000000002,135.98000000000002,903684.0,33,9219.456,33580,42969.56,42935.436
11,2022,NEW MEXICO,NM,1271.0,667.27,0.0,0.0,0.0,0.0,1271.0,667.27,667.27,704126.0,33,8421.224,33580,42668.49,42668.494
12,2024,NEW MEXICO,NM,278.0,145.96,69.0,36.22,117.0,61.42,464.0,243.60000000000002,182.18,902193.0,33,9213.492,33580,43037.09,42975.672
