,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total,procedural_cost_excl_pres,totalvotes,num_counties,prep_cost_total,central_cost_total,cost_total,cost_total_excl_pres
0,2000,NEVADA,NV,121.0,63.52,49.0,25.72,198.0,103.95,368.0,193.19,89.24000000000001,586653.0,17,5233.892,33580,39007.08,38903.132
1,2002,NEVADA,NV,115.0,60.370000000000005,0.0,0.0,0.0,0.0,115.0,60.370000000000005,60.370000000000005,501853.0,17,4894.692,33580,38535.06,38535.062000000005
2,2004,NEVADA,NV,90.0,47.25,26.0,13.65,271.0,142.27,387.0,203.17000000000002,60.9,791433.0,17,6053.012000000001,33580,39836.18,39693.912000000004
3,2006,NEVADA,NV,518.0,271.95,52.0,27.3,0.0,0.0,570.0,299.25,299.25,574827.0,17,5186.588,33580,39065.84,39065.838
4,2008,NEVADA,NV,224.0,117.6,0.0,0.0,57.0,29.92,281.0,147.51999999999998,117.6,908254.0,17,6520.296,33580,40247.82,40217.896
5,2010,NEVADA,NV,1217.0,638.93,122.0,64.05,0.0,0.0,1339.0,702.9799999999999,702.9799999999999,702788.0,17,5698.432000000001,33580,39981.41,39981.412000000004
6,2012,NEVADA,NV,237.0,124.42000000000002,604.0,317.1,105.0,55.12,946.0,496.64000000000004,441.52000000000004,973742.0,17,6782.248,33580,40858.89,40803.768
7,2014,NEVADA,NV,346.0,181.65,0.0,0.0,0.0,0.0,346.0,181.65,181.65,543009.0,17,5059.316000000001,33580,38820.97,38820.966
8,2016,NEVADA,NV,815.0,427.87,289.0,151.72,290.0,152.25,1394.0,731.84,579.59,1078497.0,17,7201.268,33580,41513.11,41360.85799999999
9,2018,NEVADA,NV,226.0,118.65,118.0,61.95,0.0,0.0,344.0,180.60000000000002,180.60000000000002,960774.0,17,6730.376,33580,40490.98,40490.976
10,2020,NEVADA,NV,447.0,234.66,0.0,0.0,293.0,153.82,740.0,388.48,234.66,1355607.0,17,8309.708,33580,42278.19,42124.368
11,2022,NEVADA,NV,479.0,251.47000000000003,898.0,471.45,0.0,0.0,1377.0,722.9200000000001,722.9200000000001,1009503.0,17,6925.292,33580,41228.21,41228.212
12,2024,NEVADA,NV,445.0,233.63,412.0,216.3,226.0,118.65,1083.0,568.58,449.93,1456402.0,17,8712.888,33580,42861.47,42742.818
