,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total,procedural_cost_excl_pres,totalvotes,num_counties,prep_cost_total,central_cost_total,cost_total,cost_total_excl_pres
0,2000,NEW YORK,NY,632.0,442.4,58.0,40.6,29.0,20.3,719.0,503.3,483.0,6948676.0,62,38324.784,33580,72408.08,72387.784
1,2002,NEW YORK,NY,888.0,621.6,0.0,0.0,0.0,0.0,888.0,621.6,621.6,4701009.0,62,29334.116,33580,63535.72,63535.716
2,2004,NEW YORK,NY,1104.0,772.8000000000001,19.0,13.3,38.0,26.6,1161.0,812.7,786.1,7447803.0,62,40321.292,33580,74713.99,74687.392
3,2006,NEW YORK,NY,1687.0,1180.9,22.0,15.4,0.0,0.0,1709.0,1196.3000000000002,1196.3000000000002,4687197.0,62,29278.868000000002,33580,64055.17,64055.168000000005
4,2008,NEW YORK,NY,1072.0,750.4,0.0,0.0,25.0,17.5,1097.0,767.9,750.4,7721503.0,62,41416.092,33580,75763.99,75746.492
5,2010,NEW YORK,NY,5322.0,3725.4,20.0,14.0,0.0,0.0,5342.0,3739.4,3739.4,4753783.0,62,29545.212,33580,66864.61,66864.612
6,2012,NEW YORK,NY,2118.0,1482.6,17.0,11.9,24.0,16.8,2159.0,1511.3,1494.5,7116336.0,62,38995.424,33580,74086.72,74069.924
7,2014,NEW YORK,NY,2476.0,1733.2,0.0,0.0,0.0,0.0,2476.0,1733.2,1733.2,3934705.0,62,26268.9,33580,61582.1,61582.1
8,2016,NEW YORK,NY,869.0,608.3,18.0,12.6,30.0,21.0,917.0,641.9,620.9,7800361.0,62,41731.524,33580,75953.42,75932.424
9,2018,NEW YORK,NY,3826.0,2678.2,21.0,14.7,0.0,0.0,3847.0,2692.8999999999996,2692.8999999999996,5948673.0,62,34324.772,33580,70597.67,70597.67199999999
10,2020,NEW YORK,NY,18441.0,12908.7,0.0,0.0,31.0,21.7,18472.0,12930.400000000001,12908.7,8690480.0,62,45292.0,33580,91802.4,91780.7
11,2022,NEW YORK,NY,3652.0,2556.4,50.0,35.0,0.0,0.0,3702.0,2591.4,2591.4,5965824.0,62,34393.376,33580,70564.78,70564.77599999998
12,2024,NEW YORK,NY,1651.0,1155.7,42.0,29.4,60.0,42.0,1753.0,1227.1000000000001,1185.1000000000001,7873210.0,62,42022.92,33580,76830.02,76788.02
