,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total,procedural_cost_excl_pres,totalvotes,num_counties,prep_cost_total,central_cost_total,cost_total,cost_total_excl_pres
0,2000,OHIO,OH,472.0,330.40000000000003,33.0,23.1,198.0,138.6,703.0,492.1,353.50000000000006,4585038.0,88,33286.072,33580,67358.17,67219.572
1,2002,OHIO,OH,374.0,261.8,0.0,0.0,0.0,0.0,374.0,261.8,261.8,3158023.0,88,27578.012000000002,33580,61419.81,61419.812000000005
2,2004,OHIO,OH,406.0,284.2,26.0,18.2,333.0,233.1,765.0,535.5,302.4,5183506.0,88,35679.944,33580,69795.44,69562.344
3,2006,OHIO,OH,2658.0,1860.6,57.0,39.9,0.0,0.0,2715.0,1900.5,1900.5,3961195.0,88,30790.7,33580,66271.2,66271.2
4,2008,OHIO,OH,1698.0,1188.6,0.0,0.0,153.0,107.1,1851.0,1295.6999999999998,1188.6,5374340.0,88,36443.28,33580,71318.98,71211.88
5,2010,OHIO,OH,851.0,595.7,41.0,28.7,0.0,0.0,892.0,624.4000000000001,624.4000000000001,3825274.0,88,30247.016,33580,64451.42,64451.416000000005
6,2012,OHIO,OH,646.0,452.2000000000001,117.0,81.9,236.0,165.2,999.0,699.3000000000002,534.1000000000001,5142126.0,88,35514.424,33580,69793.72,69628.524
7,2014,OHIO,OH,336.0,235.2,0.0,0.0,0.0,0.0,336.0,235.2,235.2,3000161.0,88,26946.564,33580,60761.76,60761.763999999996
8,2016,OHIO,OH,338.0,236.6,34.0,23.8,87.0,60.9,459.0,321.29999999999995,260.4,5218355.0,88,35819.34,33580,69720.64,69659.73999999999
9,2018,OHIO,OH,790.0,553.0,103.0,72.1,0.0,0.0,893.0,625.1,625.1,4406358.0,88,32571.352,33580,66776.45,66776.452
10,2020,OHIO,OH,556.0,389.2,0.0,0.0,88.0,61.6,644.0,450.8,389.2,5761540.0,88,37992.08,33580,72022.88,71961.28
11,2022,OHIO,OH,635.0,444.5,115.0,80.5,0.0,0.0,750.0,525.0,525.0,4109711.0,88,31384.764000000003,33580,65489.76,65489.764
12,2024,OHIO,OH,1714.0,1199.8,195.0,136.5,62.0,43.4,1971.0,1379.7,1336.3,5713815.0,88,37801.18,33580,72760.88,72717.48
