,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total,procedural_cost_excl_pres,totalvotes,num_counties,prep_cost_total,central_cost_total,cost_total,cost_total_excl_pres
0,2000,OKLAHOMA,OK,157.0,109.9,0.0,0.0,32.0,22.4,189.0,132.3,109.9,1087515.0,77,17427.74,33580,51140.04,51117.64000000001
1,2002,OKLAHOMA,OK,198.0,138.60000000000002,34.0,23.8,0.0,0.0,232.0,162.40000000000003,162.40000000000003,1001852.0,77,17085.088,33580,50827.49,50827.488000000005
2,2004,OKLAHOMA,OK,100.0,70.0,61.0,42.7,23.0,16.1,184.0,128.8,112.7,1374610.0,77,18576.12,33580,52284.92,52268.81999999999
3,2006,OKLAHOMA,OK,113.0,79.1,0.0,0.0,0.0,0.0,113.0,79.1,79.1,905194.0,77,16698.456,33580,50357.56,50357.556
4,2008,OKLAHOMA,OK,99.0,69.3,41.0,28.7,23.0,16.1,163.0,114.1,98.0,1336927.0,77,18425.388,33580,52119.49,52103.388
5,2010,OKLAHOMA,OK,106.0,74.19999999999999,16.0,11.2,0.0,0.0,122.0,85.39999999999999,85.39999999999999,792980.0,77,16249.6,33580,49915.0,49915.0
6,2012,OKLAHOMA,OK,124.0,86.8,0.0,0.0,21.0,14.7,145.0,101.5,86.8,1325935.0,77,18381.42,33580,52062.92,52048.22
7,2014,OKLAHOMA,OK,75.0,52.5,18.0,12.6,0.0,0.0,93.0,65.1,65.1,653414.0,77,15691.336,33580,49336.44,49336.435999999994
8,2016,OKLAHOMA,OK,87.0,60.9,18.0,12.6,20.0,14.0,125.0,87.5,73.5,1133245.0,77,17610.66,33580,51278.16,51264.16
9,2018,OKLAHOMA,OK,598.0,418.6,0.0,0.0,0.0,0.0,598.0,418.6,418.6,1178836.0,77,17793.024,33580,51791.62,51791.624
10,2020,OKLAHOMA,OK,235.0,164.5,26.0,18.2,22.0,15.4,283.0,198.1,182.7,1551383.0,77,19283.212,33580,53061.31,53045.912
11,2022,OKLAHOMA,OK,111.0,77.7,22.0,15.4,0.0,0.0,133.0,93.10000000000001,93.10000000000001,1146311.0,77,17662.924,33580,51336.02,51336.024
12,2024,OKLAHOMA,OK,101.0,70.7,0.0,0.0,21.0,14.7,122.0,85.4,70.7,1535812.0,77,19220.928,33580,52886.33,52871.628
