,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total,procedural_cost_excl_pres,totalvotes,num_counties,prep_cost_total,central_cost_total,cost_total,cost_total_excl_pres
0,2000,OREGON,OR,137.0,95.9,0.0,0.0,1588.0,1111.6,1725.0,1207.5,95.9,1440002.0,36,11874.248,33580,46661.75,45550.148
1,2002,OREGON,OR,156.0,109.2,50.0,35.0,0.0,0.0,206.0,144.2,144.2,1240315.0,36,11075.5,33580,44799.7,44799.7
2,2004,OREGON,OR,180.0,126.0,22.0,15.4,169.0,118.3,371.0,259.7,141.4,1772306.0,36,13203.464,33580,47043.16,46924.864
3,2006,OREGON,OR,151.0,105.7,0.0,0.0,0.0,0.0,151.0,105.7,105.7,1357434.0,36,11543.975999999999,33580,45229.68,45229.67599999999
4,2008,OREGON,OR,99.0,69.3,209.0,146.3,43.0,30.1,351.0,245.70000000000002,215.60000000000002,1682509.0,36,12844.276,33580,46669.98,46639.876
5,2010,OREGON,OR,284.0,198.8,37.0,25.9,0.0,0.0,321.0,224.70000000000002,224.70000000000002,1429356.0,36,11831.664,33580,45636.36,45636.364
6,2012,OREGON,OR,157.0,109.9,0.0,0.0,58.0,40.6,215.0,150.5,109.9,1708168.0,36,12946.912,33580,46677.41,46636.812
7,2014,OREGON,OR,144.0,100.8,32.0,22.4,0.0,0.0,176.0,123.19999999999999,123.19999999999999,1450702.0,36,11917.047999999999,33580,45620.25,45620.24799999999
8,2016,OREGON,OR,174.0,121.8,29.0,20.3,64.0,44.8,267.0,186.89999999999998,142.1,1911865.0,36,13761.7,33580,47528.6,47483.799999999996
9,2018,OREGON,OR,180.0,126.0,0.0,0.0,0.0,0.0,180.0,126.0,126.0,1847646.0,36,13504.824,33580,47210.82,47210.824
10,2020,OREGON,OR,306.0,214.2,37.0,25.9,44.0,30.8,387.0,270.9,240.1,2308189.0,36,15346.996,33580,49197.9,49167.096
11,2022,OREGON,OR,765.0,535.5,47.0,32.9,0.0,0.0,812.0,568.4,568.4,1906940.0,36,13742.0,33580,47890.4,47890.4
12,2024,OREGON,OR,521.0,364.7,0.0,0.0,49.0,34.3,570.0,399.0,364.7,2159035.0,36,14750.38,33580,48729.38,48695.079999999994
