,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total,procedural_cost_excl_pres,totalvotes,num_counties,prep_cost_total,central_cost_total,cost_total,cost_total_excl_pres
0,2000,PENNSYLVANIA,PA,666.0,349.62,118.0,61.95,168.0,88.2,952.0,499.77,411.57,4552010.0,67,29587.32,33580,63667.09,63578.89
1,2002,PENNSYLVANIA,PA,1014.0,532.3199999999999,0.0,0.0,0.0,0.0,1014.0,532.3199999999999,532.3199999999999,3310313.0,67,24620.532,33580,58732.85,58732.852
2,2004,PENNSYLVANIA,PA,754.0,395.85,77.0,40.42,280.0,147.0,1111.0,583.27,436.27000000000004,5151135.0,67,31983.82,33580,66147.09,66000.09000000001
3,2006,PENNSYLVANIA,PA,2458.0,1290.4199999999998,41.0,21.52,0.0,0.0,2499.0,1311.9399999999998,1311.9399999999998,4013388.0,67,27432.832000000002,33580,62324.77,62324.772000000004
4,2008,PENNSYLVANIA,PA,1190.0,624.72,0.0,0.0,68.0,35.7,1258.0,660.4200000000001,624.72,5787854.0,67,34530.696,33580,68771.12,68735.416
5,2010,PENNSYLVANIA,PA,1592.0,835.8,348.0,182.7,0.0,0.0,1940.0,1018.5,1018.5,3956401.0,67,27204.884,33580,61803.38,61803.384
6,2012,PENNSYLVANIA,PA,787.0,413.16,65.0,34.12,130.0,68.25,982.0,515.53,447.28000000000003,5556330.0,67,33604.6,33580,67700.13,67631.88
7,2014,PENNSYLVANIA,PA,457.0,239.95,0.0,0.0,0.0,0.0,457.0,239.95,239.95,3323533.0,67,24673.412,33580,58493.36,58493.361999999994
8,2016,PENNSYLVANIA,PA,558.0,292.96,286.0,150.15,967.0,507.67,1811.0,950.78,443.11,5743978.0,67,34355.192,33580,68885.97,68378.30200000001
9,2018,PENNSYLVANIA,PA,1206.0,633.12,51.0,26.78,0.0,0.0,1257.0,659.9,659.9,4929875.0,67,31098.78,33580,65338.68,65338.68
10,2020,PENNSYLVANIA,PA,1181.0,620.04,0.0,0.0,601.0,315.52,1782.0,935.56,620.04,6779307.0,67,38496.508,33580,73012.07,72696.548
11,2022,PENNSYLVANIA,PA,1207.0,633.6800000000001,143.0,75.07,0.0,0.0,1350.0,708.75,708.75,5152001.0,67,31987.284,33580,66276.03,66276.034
12,2024,PENNSYLVANIA,PA,2191.0,1150.28,3500.0,1837.5,412.0,216.3,6103.0,3204.08,2987.7799999999997,6966738.0,67,39246.232,33580,76030.31,75814.012
