,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total,procedural_cost_excl_pres,totalvotes,num_counties,prep_cost_total,central_cost_total,cost_total,cost_total_excl_pres
0,2000,RHODE ISLAND,RI,39.0,20.47,45.0,23.62,25.0,13.12,109.0,57.21,44.09,384272.0,5,2386.288,33580,36023.5,36010.378
1,2002,RHODE ISLAND,RI,45.0,23.62,13.0,6.82,0.0,0.0,58.0,30.44,30.44,328743.0,5,2164.172,33580,35774.61,35774.612
2,2004,RHODE ISLAND,RI,39.0,20.47,0.0,0.0,34.0,17.85,73.0,38.32,20.47,402175.0,5,2457.9,33580,36076.22,36058.37
3,2006,RHODE ISLAND,RI,32.0,16.8,100.0,52.5,0.0,0.0,132.0,69.3,69.3,373148.0,5,2341.7920000000004,33580,35991.09,35991.092000000004
4,2008,RHODE ISLAND,RI,34.0,17.85,16.0,8.4,26.0,13.65,76.0,39.9,26.25,438232.0,5,2602.128,33580,36222.03,36208.378
5,2010,RHODE ISLAND,RI,142.0,74.54,0.0,0.0,0.0,0.0,142.0,74.54,74.54,335484.0,5,2191.136,33580,35845.68,35845.676
6,2012,RHODE ISLAND,RI,93.0,48.83,24.0,12.6,26.0,13.65,143.0,75.08,61.43,427775.0,5,2560.3,33580,36215.38,36201.73
7,2014,RHODE ISLAND,RI,66.0,34.64,17.0,8.92,0.0,0.0,83.0,43.56,43.56,316257.0,5,2114.228,33580,35737.79,35737.788
8,2016,RHODE ISLAND,RI,50.0,26.25,0.0,0.0,46.0,24.15,96.0,50.4,26.25,431519.0,5,2575.276,33580,36205.68,36181.526
9,2018,RHODE ISLAND,RI,47.0,24.67,31.0,16.27,0.0,0.0,78.0,40.94,40.94,373280.0,5,2342.3199999999997,33580,35963.26,35963.26
10,2020,RHODE ISLAND,RI,55.0,28.87,22.0,11.55,34.0,17.85,111.0,58.27,40.42,488417.0,5,2802.868,33580,36441.14,36423.288
11,2022,RHODE ISLAND,RI,215.0,112.87,0.0,0.0,0.0,0.0,215.0,112.87,112.87,357823.0,5,2280.492,33580,35973.36,35973.362
12,2024,RHODE ISLAND,RI,65.0,34.13,35.0,18.38,51.0,26.78,151.0,79.29,52.510000000000005,498041.0,5,2841.364,33580,36500.65,36473.874
