,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total,procedural_cost_excl_pres,totalvotes,num_counties,prep_cost_total,central_cost_total,cost_total,cost_total_excl_pres
0,2000,SOUTH CAROLINA,SC,152.0,79.8,0.0,0.0,44.0,23.1,196.0,102.9,79.8,1321312.0,46,13097.887999999999,33580,46780.79,46757.688
1,2002,SOUTH CAROLINA,SC,87.0,45.66,73.0,38.32,0.0,0.0,160.0,83.97999999999999,83.97999999999999,984415.0,46,11750.3,33580,45414.28,45414.280000000006
2,2004,SOUTH CAROLINA,SC,98.0,51.46,79.0,41.47,41.0,21.52,218.0,114.45,92.93,1439118.0,46,13569.112000000001,33580,47263.56,47242.042
3,2006,SOUTH CAROLINA,SC,185.0,97.13,0.0,0.0,0.0,0.0,185.0,97.13,97.13,1086206.0,46,12157.464,33580,45834.59,45834.594
4,2008,SOUTH CAROLINA,SC,373.0,195.81,46.0,24.15,78.0,40.95,497.0,260.91,219.96,1873890.0,46,15308.2,33580,49149.11,49108.159999999996
5,2010,SOUTH CAROLINA,SC,237.0,124.42,21.0,11.02,0.0,0.0,258.0,135.44,135.44,1340189.0,46,13173.396,33580,46888.84,46888.836
6,2012,SOUTH CAROLINA,SC,213.0,111.82,0.0,0.0,67.0,35.17,280.0,146.99,111.82,1802734.0,46,15023.576000000001,33580,48750.57,48715.396
7,2014,SOUTH CAROLINA,SC,121.0,63.53,33.0,17.32,0.0,0.0,154.0,80.85,80.85,1155782.0,46,12435.768,33580,46096.62,46096.617999999995
8,2016,SOUTH CAROLINA,SC,182.0,95.54,29.0,15.22,50.0,26.25,261.0,137.01,110.76,2011746.0,46,15859.624,33580,49576.63,49550.384
9,2018,SOUTH CAROLINA,SC,701.0,368.01,0.0,0.0,0.0,0.0,701.0,368.01,368.01,1709292.0,46,14649.808,33580,48597.82,48597.81800000001
10,2020,SOUTH CAROLINA,SC,723.0,379.5700000000001,69.0,36.22,60.0,31.5,852.0,447.2900000000001,415.7900000000001,2505442.0,46,17834.408,33580,51861.7,51830.198
11,2022,SOUTH CAROLINA,SC,177.0,92.94,28.0,14.7,0.0,0.0,205.0,107.64,107.64,1602341.0,46,14222.004,33580,47909.64,47909.644
12,2024,SOUTH CAROLINA,SC,208.0,109.19,0.0,0.0,40.0,21.0,248.0,130.19,109.19,2512199.0,46,17861.436,33580,51571.63,51550.626000000004
