,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total,procedural_cost_excl_pres,totalvotes,num_counties,prep_cost_total,central_cost_total,cost_total,cost_total_excl_pres
0,2000,SOUTH DAKOTA,SD,15.0,7.88,0.0,0.0,31.0,16.27,46.0,24.15,7.88,314761.0,66,12468.484,33580,46072.63,46056.363999999994
1,2002,SOUTH DAKOTA,SD,90.0,47.25,656.0,344.4,0.0,0.0,746.0,391.65,391.65,336691.0,66,12556.204,33580,46527.85,46527.854
2,2004,SOUTH DAKOTA,SD,94.0,49.35,608.0,319.2,33.0,17.32,735.0,385.87,368.55,389468.0,66,12767.312,33580,46733.18,46715.862
3,2006,SOUTH DAKOTA,SD,18.0,9.45,0.0,0.0,0.0,0.0,18.0,9.45,9.45,333562.0,66,12543.688,33580,46133.14,46133.138
4,2008,SOUTH DAKOTA,SD,20.0,10.5,29.0,15.22,84.0,44.1,133.0,69.82,25.72,379007.0,66,12725.468,33580,46375.29,46331.188
5,2010,SOUTH DAKOTA,SD,319.0,167.48,7.0,3.68,0.0,0.0,326.0,171.16,171.16,319426.0,66,12487.144,33580,46238.3,46238.304000000004
6,2012,SOUTH DAKOTA,SD,47.0,24.67,0.0,0.0,39.0,20.47,86.0,45.14,24.67,361429.0,66,12655.156,33580,46280.3,46259.826
7,2014,SOUTH DAKOTA,SD,22.0,11.55,34.0,17.85,0.0,0.0,56.0,29.400000000000002,29.400000000000002,276319.0,66,12314.716,33580,45924.12,45924.116
8,2016,SOUTH DAKOTA,SD,25.0,13.12,17.0,8.92,24.0,12.6,66.0,34.64,22.04,369973.0,66,12689.332,33580,46303.97,46291.372
9,2018,SOUTH DAKOTA,SD,29.0,15.22,0.0,0.0,0.0,0.0,29.0,15.22,15.22,335471.0,66,12551.324,33580,46146.54,46146.544
10,2020,SOUTH DAKOTA,SD,12.0,6.3,23.0,12.08,27.0,14.18,62.0,32.56,18.38,397732.0,66,12800.368,33580,46412.93,46398.748
11,2022,SOUTH DAKOTA,SD,13.0,6.82,17.0,8.92,0.0,0.0,30.0,15.74,15.74,327841.0,66,12520.804,33580,46116.54,46116.544
12,2024,SOUTH DAKOTA,SD,16.0,8.4,0.0,0.0,24.0,12.6,40.0,21.0,8.4,418940.0,66,12885.2,33580,46486.2,46473.6
