,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total,procedural_cost_excl_pres,totalvotes,num_counties,prep_cost_total,central_cost_total,cost_total,cost_total_excl_pres
0,2000,TENNESSEE,TN,131.0,91.7,22.0,15.4,182.0,127.4,335.0,234.5,107.10000000000001,1854378.0,95,23552.312,33580,57366.81,57239.412000000004
1,2002,TENNESSEE,TN,249.0,174.3,71.0,49.7,0.0,0.0,320.0,224.0,224.0,1529390.0,95,22252.36,33580,56056.36,56056.36
2,2004,TENNESSEE,TN,179.0,125.3,0.0,0.0,50.0,35.0,229.0,160.3,125.3,2218738.0,95,25009.752,33580,58750.05,58715.052
3,2006,TENNESSEE,TN,179.0,125.3,258.0,180.6,0.0,0.0,437.0,305.9,305.9,1715426.0,95,22996.504,33580,56882.4,56882.404
4,2008,TENNESSEE,TN,143.0,100.1,21.0,14.7,47.0,32.9,211.0,147.7,114.8,2301885.0,95,25342.340000000004,33580,59070.04,59037.14000000001
5,2010,TENNESSEE,TN,219.0,153.3,0.0,0.0,0.0,0.0,219.0,153.3,153.3,1559129.0,95,22371.316,33580,56104.62,56104.616
6,2012,TENNESSEE,TN,197.0,137.9,21.0,14.7,35.0,24.5,253.0,177.1,152.6,2283727.0,95,25269.708,33580,59026.81,59002.308
7,2014,TENNESSEE,TN,171.0,119.7,24.0,16.8,0.0,0.0,195.0,136.5,136.5,1371161.0,95,21619.444000000003,33580,55335.94,55335.944
8,2016,TENNESSEE,TN,156.0,109.2,0.0,0.0,27.0,18.9,183.0,128.1,109.2,2391061.0,95,25699.044,33580,59407.14,59388.244
9,2018,TENNESSEE,TN,172.0,120.4,65.0,45.5,0.0,0.0,237.0,165.9,165.9,2159825.0,95,24774.1,33580,58520.0,58520.0
10,2020,TENNESSEE,TN,145.0,101.5,26.0,18.2,31.0,21.7,202.0,141.4,119.7,2841744.0,95,27501.776,33580,61223.18,61201.475999999995
11,2022,TENNESSEE,TN,204.0,142.79999999999998,0.0,0.0,0.0,0.0,204.0,142.79999999999998,142.79999999999998,1710425.0,95,22976.5,33580,56699.3,56699.3
12,2024,TENNESSEE,TN,0.0,0.0,24.0,16.8,24.0,16.8,48.0,33.6,16.8,3023130.0,95,28227.32,33580,61840.92,61824.12
