,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total,procedural_cost_excl_pres,totalvotes,num_counties,prep_cost_total,central_cost_total,cost_total,cost_total_excl_pres
0,2000,TEXAS,TX,720.0,504.0,23.0,16.1,33.0,23.1,776.0,543.2,520.1,5985763.0,254,67082.412,33580,101205.61,101182.512
1,2002,TEXAS,TX,1066.0,746.2,63.0,44.1,0.0,0.0,1129.0,790.3000000000001,790.3000000000001,4295210.0,254,60320.2,33580,94690.5,94690.5
2,2004,TEXAS,TX,910.0,637.0,0.0,0.0,31.0,21.7,941.0,658.7,637.0,6958603.0,254,70973.772,33580,105212.47,105190.772
3,2006,TEXAS,TX,849.0,594.3,30.0,21.0,0.0,0.0,879.0,615.3,615.3,4374096.0,254,60635.744,33580,94831.04,94831.04400000001
4,2008,TEXAS,TX,871.0,609.7,73.0,51.1,60.0,42.0,1004.0,702.8000000000001,660.8000000000001,7528622.0,254,73253.848,33580,107536.65,107494.648
5,2010,TEXAS,TX,1661.0,1162.7,0.0,0.0,0.0,0.0,1661.0,1162.7,1162.7,4745545.0,254,62121.54,33580,96864.24,96864.24
6,2012,TEXAS,TX,933.0,653.1,51.0,35.7,45.0,31.5,1029.0,720.3000000000001,688.8000000000001,7664208.0,254,73796.192,33580,108096.49,108064.992
7,2014,TEXAS,TX,974.0,681.8000000000001,29.0,20.3,0.0,0.0,1003.0,702.1,702.1,4453499.0,254,60953.356,33580,95235.46,95235.456
8,2016,TEXAS,TX,1325.0,927.5,0.0,0.0,78.0,54.6,1403.0,982.1,927.5,8528526.0,254,77253.464,33580,111815.56,111760.964
9,2018,TEXAS,TX,3514.0,2459.8,393.0,275.1,0.0,0.0,3907.0,2734.9,2734.9,8202708.0,254,75950.19200000001,33580,112265.09,112265.092
10,2020,TEXAS,TX,2416.0,1691.2,91.0,63.7,126.0,88.2,2633.0,1843.1000000000001,1754.9,11093626.0,254,87513.864,33580,122936.96,122848.764
11,2022,TEXAS,TX,914.0,639.8,0.0,0.0,0.0,0.0,914.0,639.8,639.8,7751761.0,254,74146.40400000001,33580,108366.2,108366.20400000001
12,2024,TEXAS,TX,1174.0,821.8,83.0,58.1,51.0,35.7,1308.0,915.6,879.9,11228847.0,254,88054.74799999999,33580,122550.35,122514.64799999999
