,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total,procedural_cost_excl_pres,totalvotes,num_counties,prep_cost_total,central_cost_total,cost_total,cost_total_excl_pres
0,2000,UTAH,UT,99.0,51.97,22.0,11.55,18.0,9.45,139.0,72.97,63.519999999999996,758754.0,29,7960.376,33580,41613.35,41603.896
1,2002,UTAH,UT,995.0,522.38,0.0,0.0,0.0,0.0,995.0,522.38,522.38,557153.0,29,7153.972,33580,41256.35,41256.352
2,2004,UTAH,UT,103.0,54.080000000000005,18.0,9.45,16.0,8.4,137.0,71.93,63.53,908857.0,29,8560.788,33580,42212.72,42204.318
3,2006,UTAH,UT,84.0,44.1,23.0,12.08,0.0,0.0,107.0,56.18,56.18,569690.0,29,7204.12,33580,40840.3,40840.3
4,2008,UTAH,UT,65.0,34.12,0.0,0.0,25.0,13.12,90.0,47.239999999999995,34.12,936839.0,29,8672.716,33580,42299.96,42286.836
5,2010,UTAH,UT,191.0,100.28,25.0,13.12,0.0,0.0,216.0,113.4,113.4,640495.0,29,7487.34,33580,41180.74,41180.74
6,2012,UTAH,UT,638.0,334.95000000000005,20.0,10.5,15.0,7.88,673.0,353.33000000000004,345.45000000000005,998897.0,29,8920.948,33580,42854.28,42846.398
7,2014,UTAH,UT,199.0,104.48,0.0,0.0,0.0,0.0,199.0,104.48,104.48,565970.0,29,7189.24,33580,40873.72,40873.72
8,2016,UTAH,UT,115.0,60.38,18.0,9.45,39.0,20.47,172.0,90.3,69.83,1114144.0,29,9381.936,33580,43052.24,43031.766
9,2018,UTAH,UT,3579.0,1878.97,25.0,13.12,0.0,0.0,3604.0,1892.09,1892.09,1052506.0,29,9135.384,33580,44607.47,44607.473999999995
10,2020,UTAH,UT,768.0,403.19,0.0,0.0,35.0,18.38,803.0,421.57,403.19,1432232.0,29,10654.288,33580,44655.86,44637.478
11,2022,UTAH,UT,95.0,49.86,68.0,35.7,0.0,0.0,163.0,85.56,85.56,1063258.0,29,9178.392,33580,42843.95,42843.952
12,2024,UTAH,UT,97.0,50.93,23.0,12.08,33.0,17.32,153.0,80.33,63.01,1446384.0,29,10710.896,33580,44371.23,44353.906
