,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total,procedural_cost_excl_pres,totalvotes,num_counties,prep_cost_total,central_cost_total,cost_total,cost_total_excl_pres
0,2000,VIRGINIA,VA,326.0,171.13,153.0,80.32,88.0,46.2,567.0,297.65,251.45,2421729.0,133,32275.636,33580,66153.29,66107.086
1,2002,VIRGINIA,VA,138.0,72.46,9.0,4.72,0.0,0.0,147.0,77.17999999999999,77.17999999999999,1516482.0,133,28654.648,33580,62311.83,62311.828
2,2004,VIRGINIA,VA,288.0,151.2,0.0,0.0,86.0,45.15,374.0,196.35,151.2,3004007.0,133,34604.748,33580,68381.1,68335.94799999999
3,2006,VIRGINIA,VA,513.0,269.33,1779.0,933.97,0.0,0.0,2292.0,1203.3,1203.3,2297236.0,133,31777.664,33580,66560.96,66560.964
4,2008,VIRGINIA,VA,3915.0,2055.37,22.0,11.55,112.0,58.8,4049.0,2125.7200000000003,2066.92,3495355.0,133,36570.14,33580,72275.86,72217.06
5,2010,VIRGINIA,VA,2314.0,1214.82,0.0,0.0,0.0,0.0,2314.0,1214.82,1214.82,2189841.0,133,31348.084000000003,33580,66142.9,66142.90400000001
6,2012,VIRGINIA,VA,436.0,228.89,119.0,62.47,181.0,95.02,736.0,386.38,291.36,3740455.0,133,37550.54,33580,71516.92,71421.90000000001
7,2014,VIRGINIA,VA,300.0,157.5,216.0,113.4,0.0,0.0,516.0,270.9,270.9,2135331.0,133,31130.044,33580,64980.94,64980.944
8,2016,VIRGINIA,VA,403.0,211.55,0.0,0.0,132.0,69.3,535.0,280.85,211.55,3781568.0,133,37714.992,33580,71575.84,71506.542
9,2018,VIRGINIA,VA,1026.0,538.66,40.0,21.0,0.0,0.0,1066.0,559.66,559.66,3312956.0,133,35840.544,33580,69980.2,69980.204
10,2020,VIRGINIA,VA,857.0,449.92,58.0,30.45,70.0,36.75,985.0,517.12,480.37,4335436.0,133,39930.464,33580,74027.58,73990.834
11,2022,VIRGINIA,VA,688.0,361.19,0.0,0.0,0.0,0.0,688.0,361.19,361.19,3047729.0,133,34779.636,33580,68720.83,68720.826
12,2024,VIRGINIA,VA,825.0,433.11,78.0,40.95,135.0,70.88,1038.0,544.94,474.06,4410480.0,133,40230.64,33580,74355.58,74284.7
