,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total,procedural_cost_excl_pres,totalvotes,num_counties,prep_cost_total,central_cost_total,cost_total,cost_total_excl_pres
0,2000,VERMONT,VT,14.0,9.8,19.0,13.3,71.0,49.7,104.0,72.80000000000001,23.1,283366.0,14,3511.224,33580,37164.02,37114.324
1,2002,VERMONT,VT,22.0,15.4,0.0,0.0,0.0,0.0,22.0,15.4,15.4,225255.0,14,3278.78,33580,36874.18,36874.18
2,2004,VERMONT,VT,17.0,11.9,16.0,11.2,35.0,24.5,68.0,47.6,23.1,305008.0,14,3597.7920000000004,33580,37225.39,37200.892
3,2006,VERMONT,VT,81.0,56.7,22.0,15.4,0.0,0.0,103.0,72.10000000000001,72.10000000000001,262726.0,14,3428.664,33580,37080.76,37080.763999999996
4,2008,VERMONT,VT,9.0,6.3,0.0,0.0,19.0,13.3,28.0,19.6,6.3,298151.0,14,3570.3640000000005,33580,37169.96,37156.664000000004
5,2010,VERMONT,VT,22.0,15.4,21.0,14.7,0.0,0.0,43.0,30.1,30.1,238521.0,14,3331.844,33580,36941.94,36941.943999999996
6,2012,VERMONT,VT,15.0,10.5,29.0,20.3,20.0,14.0,64.0,44.8,30.8,289931.0,14,3537.4840000000004,33580,37162.28,37148.284
7,2014,VERMONT,VT,21.0,14.7,0.0,0.0,0.0,0.0,21.0,14.7,14.7,191504.0,14,3143.7760000000003,33580,36738.48,36738.475999999995
8,2016,VERMONT,VT,10.0,7.0,26.0,18.2,27.0,18.9,63.0,44.099999999999994,25.2,320467.0,14,3659.628,33580,37283.73,37264.827999999994
9,2018,VERMONT,VT,0.0,0.0,26.0,18.2,0.0,0.0,26.0,18.2,18.2,272451.0,14,3467.5640000000003,33580,37065.76,37065.763999999996
10,2020,VERMONT,VT,18.0,12.6,0.0,0.0,20.0,14.0,38.0,26.6,12.6,370968.0,14,3861.6320000000005,33580,37468.23,37454.231999999996
11,2022,VERMONT,VT,21.0,14.7,18.0,12.6,0.0,0.0,39.0,27.299999999999997,27.299999999999997,291955.0,14,3545.58,33580,37152.88,37152.880000000005
12,2024,VERMONT,VT,22.0,15.4,23.0,16.1,23.0,16.1,68.0,47.6,31.5,355186.0,14,3798.504,33580,37426.1,37410.004
