,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total,procedural_cost_excl_pres,totalvotes,num_counties,prep_cost_total,central_cost_total,cost_total,cost_total_excl_pres
0,2000,WASHINGTON,WA,433.0,227.33,258.0,135.45,126.0,66.15,817.0,428.92999999999995,362.78,2382411.0,39,16153.404,33580,50162.33,50096.184
1,2002,WASHINGTON,WA,390.0,204.74,0.0,0.0,0.0,0.0,390.0,204.74,204.74,1739116.0,39,13580.224,33580,47364.96,47364.964
2,2004,WASHINGTON,WA,348.0,182.7,53.0,27.82,98.0,51.45,499.0,261.96999999999997,210.51999999999998,2729995.0,39,17543.739999999998,33580,51385.71,51334.259999999995
3,2006,WASHINGTON,WA,448.0,235.21,39.0,20.47,0.0,0.0,487.0,255.68,255.68,2054056.0,39,14839.984,33580,48675.66,48675.664
4,2008,WASHINGTON,WA,304.0,159.60000000000002,0.0,0.0,41.0,21.52,345.0,181.12000000000003,159.60000000000002,2914463.0,39,18281.612,33580,52042.73,52021.212
5,2010,WASHINGTON,WA,822.0,431.56,149.0,78.22,0.0,0.0,971.0,509.78,509.78,2479409.0,39,16541.396,33580,50631.18,50631.176
6,2012,WASHINGTON,WA,362.0,190.03,34.0,17.85,48.0,25.2,444.0,233.07999999999998,207.88,3006266.0,39,18648.824,33580,52461.9,52436.704
7,2014,WASHINGTON,WA,715.0,375.37,0.0,0.0,0.0,0.0,715.0,375.37,375.37,2029600.0,39,14742.16,33580,48697.53,48697.530000000006
8,2016,WASHINGTON,WA,386.0,202.63,39.0,20.47,45.0,23.62,470.0,246.72,223.1,3141035.0,39,19187.9,33580,53014.62,52991.0
9,2018,WASHINGTON,WA,520.0,272.99,42.0,22.05,0.0,0.0,562.0,295.04,295.04,3021951.0,39,18711.564,33580,52586.6,52586.604
10,2020,WASHINGTON,WA,491.0,257.78,0.0,0.0,37.0,19.42,528.0,277.2,257.78,3944233.0,39,22400.692000000003,33580,56257.89,56238.472
11,2022,WASHINGTON,WA,1207.0,633.68,49.0,25.72,0.0,0.0,1256.0,659.4,659.4,3026173.0,39,18728.451999999997,33580,52967.85,52967.852
12,2024,WASHINGTON,WA,588.0,308.68,38.0,19.95,39.0,20.47,665.0,349.1,328.63,3776772.0,39,21730.847999999998,33580,55659.95,55639.477999999996
