,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total,procedural_cost_excl_pres,totalvotes,num_counties,prep_cost_total,central_cost_total,cost_total,cost_total_excl_pres
0,2000,WISCONSIN,WI,521.0,273.52000000000004,28.0,14.7,3187.0,1673.17,3736.0,1961.39,288.22,2506314.0,72,22253.735999999997,33580,57795.13,56121.956
1,2002,WISCONSIN,WI,126.0,66.15,0.0,0.0,0.0,0.0,126.0,66.15,66.15,1637546.0,72,18778.664,33580,52424.81,52424.814000000006
2,2004,WISCONSIN,WI,189.0,99.23,61.0,32.02,1843.0,967.58,2093.0,1098.83,131.25,2820613.0,72,23510.932,33580,58189.76,57222.182
3,2006,WISCONSIN,WI,469.0,246.23,19.0,9.98,0.0,0.0,488.0,256.21,256.21,2063413.0,72,20482.131999999998,33580,54318.34,54318.342
4,2008,WISCONSIN,WI,236.0,123.9,0.0,0.0,51.0,26.78,287.0,150.68,123.9,2775174.0,72,23329.176,33580,57059.86,57033.076
5,2010,WISCONSIN,WI,450.0,236.24,145.0,76.12,0.0,0.0,595.0,312.36,312.36,2140482.0,72,20790.408,33580,54682.77,54682.768
6,2012,WISCONSIN,WI,288.0,151.19,92.0,48.3,103.0,54.08,483.0,253.57,199.49,2866050.0,72,23692.68,33580,57526.25,57472.17
7,2014,WISCONSIN,WI,240.0,126.0,0.0,0.0,0.0,0.0,240.0,126.0,126.0,2355580.0,72,21650.8,33580,55356.8,55356.8
8,2016,WISCONSIN,WI,172.0,90.31,1779.0,933.97,916.0,480.9,2867.0,1505.1799999999998,1024.28,2773662.0,72,23323.127999999997,33580,58408.31,57927.407999999996
9,2018,WISCONSIN,WI,268.0,140.68,65.0,34.12,0.0,0.0,333.0,174.8,174.8,2571655.0,72,22515.1,33580,56269.9,56269.9
10,2020,WISCONSIN,WI,461.0,242.02,0.0,0.0,1117.0,586.42,1578.0,828.4399999999999,242.02,3238051.0,72,25180.684,33580,59589.12,59002.704
11,2022,WISCONSIN,WI,370.0,194.23,694.0,364.35,0.0,0.0,1064.0,558.58,558.58,2531324.0,72,22353.775999999998,33580,56492.36,56492.356
12,2024,WISCONSIN,WI,481.0,252.51,778.0,408.45,875.0,459.38,2134.0,1120.3400000000001,660.96,3365855.0,72,25691.9,33580,60392.24,59932.86
