,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total,procedural_cost_excl_pres,totalvotes,num_counties,prep_cost_total,central_cost_total,cost_total,cost_total_excl_pres
0,2000,WEST VIRGINIA,WV,289.0,202.3,12.0,8.4,111.0,77.7,412.0,288.40000000000003,210.70000000000002,579872.0,55,11660.688,33580,45529.09,45451.388
1,2002,WEST VIRGINIA,WV,53.0,37.1,27.0,18.9,0.0,0.0,80.0,56.0,56.0,399949.0,55,10940.996000000001,33580,44577.0,44576.996
2,2004,WEST VIRGINIA,WV,88.0,61.6,0.0,0.0,55.0,38.5,143.0,100.1,61.6,721656.0,55,12227.824,33580,45907.92,45869.424
3,2006,WEST VIRGINIA,WV,93.0,65.1,13.0,9.1,0.0,0.0,106.0,74.19999999999999,74.19999999999999,454813.0,55,11160.452000000001,33580,44814.65,44814.652
4,2008,WEST VIRGINIA,WV,79.0,55.3,26.0,18.2,54.0,37.8,159.0,111.3,73.5,645560.0,55,11923.44,33580,45614.74,45576.94
5,2010,WEST VIRGINIA,WV,953.0,667.1,70.0,49.0,0.0,0.0,1023.0,716.1,716.1,514373.0,55,11398.692000000001,33580,45694.79,45694.792
6,2012,WEST VIRGINIA,WV,136.0,95.2,30.0,21.0,27.0,18.9,193.0,135.1,116.2,641354.0,55,11906.616000000002,33580,45621.72,45602.816
7,2014,WEST VIRGINIA,WV,311.0,217.7,27.0,18.9,0.0,0.0,338.0,236.6,236.6,439388.0,55,11098.752,33580,44915.35,44915.352
8,2016,WEST VIRGINIA,WV,78.0,54.6,0.0,0.0,17.0,11.9,95.0,66.5,54.6,686349.0,55,12086.596000000001,33580,45733.1,45721.196
9,2018,WEST VIRGINIA,WV,143.0,100.1,95.0,66.5,0.0,0.0,238.0,166.6,166.6,577991.0,55,11653.164,33580,45399.76,45399.764
10,2020,WEST VIRGINIA,WV,63.0,44.1,18.0,12.6,18.0,12.6,99.0,69.3,56.7,761385.0,55,12386.740000000002,33580,46036.04,46023.44
11,2022,WEST VIRGINIA,WV,42.0,29.4,0.0,0.0,0.0,0.0,42.0,29.4,29.4,472082.0,55,11229.528,33580,44838.93,44838.928
12,2024,WEST VIRGINIA,WV,35.0,24.5,18.0,12.6,17.0,11.9,70.0,49.0,37.1,747865.0,55,12332.66,33580,45961.66,45949.76
