,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total,procedural_cost_excl_pres,totalvotes,num_counties,prep_cost_total,central_cost_total,cost_total,cost_total_excl_pres
0,2000,WYOMING,WY,19.0,9.98,15.0,7.88,18.0,9.45,52.0,27.31,17.86,212312.0,23,4755.568,33580,38362.88,38353.428
1,2002,WYOMING,WY,29.0,15.22,16.0,8.4,0.0,0.0,45.0,23.62,23.62,182152.0,23,4634.928,33580,38238.55,38238.548
2,2004,WYOMING,WY,53.0,27.82,0.0,0.0,18.0,9.45,71.0,37.269999999999996,27.82,239163.0,23,4862.972,33580,38480.24,38470.792
3,2006,WYOMING,WY,1400.0,735.0,18.0,9.45,0.0,0.0,1418.0,744.45,744.45,196215.0,23,4691.18,33580,39015.63,39015.63
4,2008,WYOMING,WY,72.0,37.8,15.0,7.88,22.0,11.55,109.0,57.230000000000004,45.68,249575.0,23,4904.62,33580,38541.85,38530.3
5,2010,WYOMING,WY,16.0,8.4,0.0,0.0,0.0,0.0,16.0,8.4,8.4,190822.0,23,4669.608,33580,38258.01,38258.008
6,2012,WYOMING,WY,16.0,8.4,14.0,7.35,18.0,9.45,48.0,25.2,15.75,250700.0,23,4909.12,33580,38514.32,38504.87
7,2014,WYOMING,WY,16.0,8.4,14.0,7.35,0.0,0.0,30.0,15.75,15.75,171153.0,23,4590.932,33580,38186.68,38186.682
8,2016,WYOMING,WY,23.0,12.08,0.0,0.0,16.0,8.4,39.0,20.48,12.08,258788.0,23,4941.472,33580,38541.95,38533.552
9,2018,WYOMING,WY,21.0,11.02,21.0,11.02,0.0,0.0,42.0,22.04,22.04,201245.0,23,4711.3,33580,38313.34,38313.340000000004
10,2020,WYOMING,WY,16.0,8.4,0.0,0.0,17.0,8.92,33.0,17.32,8.4,278503.0,23,5020.332,33580,38617.65,38608.732
11,2022,WYOMING,WY,16.0,8.4,0.0,0.0,0.0,0.0,16.0,8.4,8.4,198198.0,23,4699.112,33580,38287.51,38287.512
12,2024,WYOMING,WY,15.0,7.88,14.0,7.35,16.0,8.4,45.0,23.630000000000003,15.23,262160.0,23,4954.96,33580,38558.59,38550.19
