year,state,state_po,totalvotes
2000,ALABAMA,AL,1438994
2000,ALASKA,AK,274393
2000,ARIZONA,AZ,1465656
2000,ARKANSAS,AR,632766
2000,CALIFORNIA,CA,10436607
2000,COLORADO,CO,1623882
2000,CONNECTICUT,CT,1313490
2000,DELAWARE,DE,313126
2000,FLORIDA,FL,5011220
2000,GEORGIA,GA,2416622
2000,HAWAII,HI,340424
2000,IDAHO,ID,492835
2000,ILLINOIS,IL,4393286
2000,INDIANA,IN,2156744
2000,IOWA,IA,1275934
2000,KANSAS,KS,1035961
2000,KENTUCKY,KY,1435409
2000,LOUISIANA,LA,1202172
2000,MAINE,ME,638399
2000,MARYLAND,MD,1926764
2000,MASSACHUSETTS,MA,2733972
2000,MICHIGAN,MI,4069660
2000,MINNESOTA,MN,2363738
2000,MISSISSIPPI,MS,986139
2000,MISSOURI,MO,2325788
2000,MONTANA,MT,410521
2000,NEBRASKA,NE,683071
2000,NEVADA,NV,586653
2000,NEW HAMPSHIRE,NH,556049
2000,NEW JERSEY,NJ,2988233
2000,NEW MEXICO,NM,587514
2000,NEW YORK,NY,6948676
2000,NORTH CAROLINA,NC,2779800
2000,NORTH DAKOTA,ND,285658
2000,OHIO,OH,4585038
2000,OKLAHOMA,OK,1087515
2000,OREGON,OR,1440002
2000,PENNSYLVANIA,PA,4552010
2000,RHODE ISLAND,RI,384272
2000,SOUTH CAROLINA,SC,1321312
2000,SOUTH DAKOTA,SD,314761
2000,TENNESSEE,TN,1854378
2000,TEXAS,TX,5985763
2000,UTAH,UT,758754
2000,VERMONT,VT,283366
2000,VIRGINIA,VA,2421729
2000,WASHINGTON,WA,2382411
2000,WEST VIRGINIA,WV,579872
2000,WISCONSIN,WI,2506314
2000,WYOMING,WY,212312
2002,ALABAMA,AL,1268802
2002,ALASKA,AK,227725
2002,ARIZONA,AZ,1194400
2002,ARKANSAS,AR,688276
2002,CALIFORNIA,CA,7258417
2002,COLORADO,CO,1397088
2002,CONNECTICUT,CT,989309
2002,DELAWARE,DE,228405
2002,FLORIDA,FL,3766564
2002,GEORGIA,GA,1918917
2002,HAWAII,HI,359984
2002,IDAHO,ID,405023
2002,ILLINOIS,IL,3429136
2002,INDIANA,IN,1521353
2002,IOWA,IA,1012622
2002,KANSAS,KS,829890
2002,KENTUCKY,KY,1094242
2002,LOUISIANA,LA,1324820
2002,MAINE,ME,495294
2002,MARYLAND,MD,1659113
2002,MASSACHUSETTS,MA,2220326
2002,MICHIGAN,MI,3055897
2002,MINNESOTA,MN,2201638
2002,MISSISSIPPI,MS,677636
2002,MISSOURI,MO,1853563
2002,MONTANA,MT,331321
2002,NEBRASKA,NE,473814
2002,NEVADA,NV,501853
2002,NEW HAMPSHIRE,NH,443443
2002,NEW JERSEY,NJ,2006059
2002,NEW MEXICO,NM,437495
2002,NEW YORK,NY,4701009
2002,NORTH CAROLINA,NC,2244149
2002,NORTH DAKOTA,ND,231030
2002,OHIO,OH,3158023
2002,OKLAHOMA,OK,1001852
2002,OREGON,OR,1240315
2002,PENNSYLVANIA,PA,3310313
