State	Candidate	Party	Votes	Vote share	Electoral votes	Expected votes counted (%)
Alaska	Donald Trump wins	Republican (incumbent)	179,314	54.9%	3	99%
Alaska	Kamala Harris	Democrat	134,156	41.1%	0	99%
Alaska	Robert F. Kennedy Jr	Independent	5,434	1.7%	0	99%
Alaska	Chase Oliver	Libertarian	2,925	0.9%	0	99%
Alaska	Jill Stein	Green	2,222	0.7%	0	99%
Alaska	Cornel West	Unity	1,107	0.3%	0	99%
Alaska	Randall Terry	Constitution	816	0.2%	0	99%
Alaska	Peter Sonski	American Solidarity	663	0.2%	0	99%
Alabama	Donald Trump wins	Republican (incumbent)	1,462,616	64.6%	9	100%
Alabama	Kamala Harris	Democrat	772,412	34.1%	0	100%
Alabama	Robert F. Kennedy Jr	Independent	12,075	0.5%	0	100%
Alabama	Write-ins	Write - In	8,738	0.4%	0	100%
Alabama	Chase Oliver	Libertarian	4,930	0.2%	0	100%
Alabama	Jill Stein	Green	4,319	0.2%	0	100%
Arkansas	Donald Trump wins	Republican (incumbent)	759,241	64.2%	6	100%
Arkansas	Kamala Harris	Democrat	396,905	33.6%	0	100%
Arkansas	Robert F. Kennedy Jr	Independent	13,255	1.1%	0	100%
Arkansas	Chase Oliver	Libertarian	5,715	0.5%	0	100%
Arkansas	Jill Stein	Green	4,275	0.4%	0	100%
Arkansas	Peter Sonski	American Solidarity	2,141	0.2%	0	100%
Arkansas	Michael Wood	Prohibition	1,144	0.1%	0	100%
Arizona	Donald Trump wins	Republican	1,770,242	52.2%	11	100%
Arizona	Kamala Harris	Democrat (incumbent)	1,582,860	46.7%	0	100%
Arizona	Jill Stein	Green	18,319	0.5%	0	100%
Arizona	Chase Oliver	Libertarian	17,898	0.5%	0	100%
Arizona	Write-ins	Write - In	842	0.0%	0	100%
California	Kamala Harris wins	Democrat (incumbent)	9,276,179	58.5%	54	99%
California	Donald Trump	Republican	6,081,697	38.3%	0	99%
California	Robert F. Kennedy Jr	Independent	197,645	1.2%	0	99%
California	Jill Stein	Green	167,814	1.1%	0	99%
California	Claudia De la Cruz	Peace and Freedom	72,539	0.5%	0	99%
California	Chase Oliver	Libertarian	66,662	0.4%	0	99%
California	Write-ins	Write - In	0	0.0%	0	99%
Colorado	Kamala Harris wins	Democrat (incumbent)	1,728,159	54.2%	10	97.6%
Colorado	Donald Trump	Republican	1,377,441	43.2%	0	97.6%
Colorado	Robert F. Kennedy Jr	Independent	35,623	1.1%	0	97.6%
Colorado	Chase Oliver	Libertarian	21,439	0.7%	0	97.6%
Colorado	Jill Stein	Green	17,344	0.5%	0	97.6%
Colorado	Cornel West	Unity	5,149	0.2%	0	97.6%
Colorado	Randall Terry	Constitution	3,522	0.1%	0	97.6%
Colorado	Blake Huber	Approval Voting	2,196	0.1%	0	97.6%
Colorado	Write-ins	Write - In	0	0.0%	0	97.6%
Connecticut	Kamala Harris wins	Democrat (incumbent)	990,938	56.4%	7	99%
Connecticut	Donald Trump	Republican	736,093	41.9%	0	99%
Connecticut	Jill Stein	Green	14,273	0.8%	0	99%
Connecticut	Robert F. Kennedy Jr	Independent	8,438	0.5%	0	99%
Connecticut	Chase Oliver	Libertarian	6,722	0.4%	0	99%
Connecticut	Write-ins	Write - In	581	0.0%	0	99%
District of Columbia	Kamala Harris wins	Democrat (incumbent)	294,185	90.3%	3	100%
District of Columbia	Donald Trump	Republican	21,076	6.5%	0	100%
District of Columbia	Write-ins	Write - In	7,830	2.4%	0	100%
District of Columbia	Robert F. Kennedy Jr	Independent	2,778	0.9%	0	100%
Delaware	Kamala Harris wins	Democrat (incumbent)	289,758	56.6%	3	100%
Delaware	Donald Trump	Republican	214,351	41.9%	0	100%
Delaware	Robert F. Kennedy Jr	Independent	4,636	0.9%	0	100%
Delaware	Chase Oliver	Libertarian	2,038	0.4%	0	100%
Delaware	Vermin Supreme	Conservative	914	0.2%	0	100%
Delaware	Write-ins	Write - In	0	0.0%	0	100%
Florida	Donald Trump wins	Republican (incumbent)	6,110,125	56.1%	30	100%
Florida	Kamala Harris	Democrat	4,683,038	43.0%	0	100%
Florida	Jill Stein	Green	43,155	0.4%	0	100%
Florida	Chase Oliver	Libertarian	31,972	0.3%	0	100%
Florida	Claudia De la Cruz	Peace and Freedom	11,969	0.1%	0	100%
Florida	Peter Sonski	American Solidarity	7,454	0.1%	0	100%
Florida	Randall Terry	Constitution	5,834	0.1%	0	100%
Florida	Write-ins	Write - In	205	0.0%	0	100%
Georgia	Donald Trump wins	Republican	2,663,117	50.7%	16	100%
Georgia	Kamala Harris	Democrat (incumbent)	2,548,018	48.5%	0	100%
Georgia	Chase Oliver	Libertarian	20,684	0.4%	0	100%
Georgia	Jill Stein	Green	18,229	0.3%	0	100%
Georgia	Write-ins	Write - In	1,089	0.0%	0	100%
Hawaii	Kamala Harris wins	Democrat (incumbent)	313,044	60.6%	4	99%
Hawaii	Donald Trump	Republican	193,661	37.5%	0	99%
Hawaii	Jill Stein	Green	4,387	0.8%	0	99%
Hawaii	Chase Oliver	Libertarian	2,733	0.5%	0	99%
Hawaii	Claudia De la Cruz	Peace and Freedom	1,940	0.4%	0	99%
Hawaii	Peter Sonski	American Solidarity	936	0.2%	0	99%
Iowa	Donald Trump wins	Republican (incumbent)	927,019	55.7%	6	100%
Iowa	Kamala Harris	Democrat	707,278	42.5%	0	100%
Iowa	Robert F. Kennedy Jr	Independent	13,122	0.8%	0	100%
Iowa	Chase Oliver	Libertarian	7,218	0.4%	0	100%
Iowa	Write-ins	Write - In	6,657	0.4%	0	100%
Iowa	Claudia De la Cruz	Peace and Freedom	1,427	0.1%	0	100%
Iowa	Shiva Ayyadurai	Independent	424	0.0%	0	100%
Iowa	William Stodden	Socialist	361	0.0%	0	100%
