,year,state,state_po,margin,num_ballots,procedural_cost
0,2000,ARIZONA,AZ,0.742602406740936,10,5.25
1,2004,ARIZONA,AZ,0.5347807003905333,14,7.35
2,2006,ARIZONA,AZ,0.0668242093501233,105,55.12
3,2010,ARIZONA,AZ,0.1952063935044168,36,18.9
4,2012,ARIZONA,AZ,0.0152418938567956,460,241.5
5,2016,ARIZONA,AZ,0.129615565469252,55,28.88
6,2018,ARIZONA,AZ,0.0234449576145363,299,156.98
7,2020,ARIZONA,AZ,0.0234869715349445,299,156.98
8,2022,ARIZONA,AZ,0.0489,144,75.6
9,2024,ARIZONA,AZ,0.023999999999999966,292,153.3
