,year,state,state_po,margin,num_ballots,procedural_cost
0,2000,MISSOURI,MO,0.025050114626357,280,147.0
1,2002,MISSOURI,MO,0.0015493017756521,4519,2372.48
2,2004,MISSOURI,MO,0.1256945568322814,56,29.4
3,2006,MISSOURI,MO,0.0451528547178968,156,81.9
4,2010,MISSOURI,MO,0.1058496351919519,67,35.17
5,2012,MISSOURI,MO,0.2177105891753335,33,17.32
6,2016,MISSOURI,MO,0.0037536077629746,1865,979.12
7,2018,MISSOURI,MO,0.0469543121227668,150,78.75
8,2022,MISSOURI,MO,0.1326,53,27.82
9,2024,MISSOURI,MO,0.13800000000000007,51,26.78
