,year,state,state_po,margin,num_ballots,procedural_cost
0,2000,WEST VIRGINIA,WV,0.5968860453670977,12,6.30
1,2002,WEST VIRGINIA,WV,0.2622270927569392,27,14.18
2,2006,WEST VIRGINIA,WV,0.5409804320252516,13,6.82
3,2008,WEST VIRGINIA,WV,0.2747099563154627,26,13.65
4,2010,WEST VIRGINIA,WV,0.1006608195521069,70,36.75
5,2012,WEST VIRGINIA,WV,0.241003511046619,30,15.75
6,2014,WEST VIRGINIA,WV,0.2602024735005698,27,14.18
7,2018,WEST VIRGINIA,WV,0.074054186659713,95,49.88
8,2020,WEST VIRGINIA,WV,0.4056781329998793,18,9.45
9,2024,WEST VIRGINIA,WV,0.4099999999999999,18,9.45
