,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total,totalvotes
0,2000,ALASKA,AK,13,6.82,0,0.0,23,12.08,36,18.90,274393
1,2002,ALASKA,AK,13,6.82,11,5.78,0,0.0,24,12.60,227725
2,2004,ALASKA,AK,15,7.87,231,121.28,28,14.7,274,143.85,299996
3,2006,ALASKA,AK,43,22.57,0,0.0,0,0.0,43,22.57,234645
4,2008,ALASKA,AK,135,70.87,346,181.65,33,17.32,514,269.84,316978
5,2010,ALASKA,AK,19,9.97,61,32.02,0,0.0,80,41.99,254335
6,2012,ALASKA,AK,20,10.5,0,0.0,51,26.78,71,37.28,289804
7,2014,ALASKA,AK,70,36.75,440,231.0,0,0.0,510,267.75,279741
8,2016,ALASKA,AK,49,25.72,196,102.9,48,25.2,293,153.82,308198
9,2018,ALASKA,AK,107,56.17,0,0.0,0,0.0,107,56.17,282166
10,2020,ALASKA,AK,77,40.42,56,29.4,70,36.75,203,106.57,353165
11,2022,ALASKA,AK,31,16.27,112,58.8,0,0.0,143,75.07,263610
