,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total
0,2000,ALABAMA,AL,91,47.77,0,0.0,47,24.67,138,72.44
1,2002,ALABAMA,AL,395,207.37,41,21.52,0,0.0,436,228.89
2,2004,ALABAMA,AL,94,49.35,20,10.5,28,14.7,142,74.55
3,2006,ALABAMA,AL,94,49.35,0,0.0,0,0.0,94,49.35
4,2008,ALABAMA,AL,1479,776.47,27,14.18,33,17.32,1539,807.97
5,2010,ALABAMA,AL,383,201.07,23,12.08,0,0.0,406,213.15
6,2012,ALABAMA,AL,121,63.52,0,0.0,32,16.8,153,80.32
7,2014,ALABAMA,AL,88,46.2,8,4.2,0,0.0,96,50.40
8,2016,ALABAMA,AL,158,82.95,25,13.12,26,13.65,209,109.72
9,2018,ALABAMA,AL,127,66.67,0,0.0,0,0.0,127,66.67
10,2020,ALABAMA,AL,78,40.95,35,18.38,28,14.7,141,74.03
11,2022,ALABAMA,AL,110,57.75,20,10.5,0,0.0,130,68.25
12,2024,ALABAMA,AL,0,0.0,0,0.0,23,12.08,23,12.08
