,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total
0,2000,ARKANSAS,AR,433,227.32,0,0.0,129,67.72,562,295.04
1,2002,ARKANSAS,AR,72,37.8,90,47.25,0,0.0,162,85.05
2,2004,ARKANSAS,AR,99,51.97,60,31.5,72,37.8,231,121.27
3,2006,ARKANSAS,AR,97,50.92,0,0.0,0,0.0,97,50.92
4,2008,ARKANSAS,AR,37,19.42,9,4.72,36,18.9,82,43.04
5,2010,ARKANSAS,AR,178,93.45,34,17.85,0,0.0,212,111.30
6,2012,ARKANSAS,AR,129,67.72,0,0.0,30,15.75,159,83.47
7,2014,ARKANSAS,AR,183,96.07,47,24.67,0,0.0,230,120.74
8,2016,ARKANSAS,AR,75,39.37,36,18.9,27,14.18,138,72.45
9,2018,ARKANSAS,AR,172,90.3,0,0.0,0,0.0,172,90.30
10,2020,ARKANSAS,AR,111,58.27,22,11.55,26,13.65,159,83.47
11,2022,ARKANSAS,AR,83,43.57,21,11.02,0,0.0,104,54.59
12,2024,ARKANSAS,AR,0,0.0,0,0.0,23,12.08,23,12.08
