,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total,totalvotes
0,2000,CALIFORNIA,CA,2572,1350.3,34,17.85,60,31.5,2666,1399.65,10436607
1,2002,CALIFORNIA,CA,1157,607.42,0,0.0,0,0.0,1157,607.42,7258417
2,2004,CALIFORNIA,CA,1129,592.72,33,17.32,71,37.28,1233,647.32,11623753
3,2006,CALIFORNIA,CA,1281,672.52,27,14.18,0,0.0,1308,686.70,8295783
4,2008,CALIFORNIA,CA,2808,1474.2,0,0.0,30,15.75,2838,1489.95,12322079
5,2010,CALIFORNIA,CA,2194,1151.85,60,31.5,0,0.0,2254,1183.35,9648096
6,2012,CALIFORNIA,CA,2860,1501.5,28,14.7,31,16.27,2919,1532.47,12204357
7,2014,CALIFORNIA,CA,3974,2086.35,0,0.0,0,0.0,3974,2086.35,7132421
8,2016,CALIFORNIA,CA,3233,1697.32,12,6.3,24,12.6,3269,1716.22,13414018
9,2018,CALIFORNIA,CA,3107,1631.17,13,6.82,0,0.0,3120,1637.99,12184522
10,2020,CALIFORNIA,CA,6865,3604.12,0,0.0,25,13.12,6890,3617.24,16724901
11,2022,CALIFORNIA,CA,4511,2368.27,32,16.8,0,0.0,4543,2385.07,10656368
12,2024,CALIFORNIA,CA,356108,186956.7,40,21.0,35,18.38,356183,186996.08,15357876
