,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total,totalvotes
0,2000,COLORADO,CO,160,84.0,0,0.0,84,44.1,244,128.10,1623882
1,2002,COLORADO,CO,7161,3759.52,203,106.57,0,0.0,7364,3866.09,1397088
2,2004,COLORADO,CO,439,230.47,134,70.35,150,78.75,723,379.57,2039011
3,2006,COLORADO,CO,468,245.7,0,0.0,0,0.0,468,245.70,1538906
4,2008,COLORADO,CO,218,114.45,68,35.7,79,41.47,365,191.62,2283846
5,2010,COLORADO,CO,384,201.6,242,127.05,0,0.0,626,328.65,1763152
6,2012,COLORADO,CO,416,218.4,0,0.0,131,68.77,547,287.17,2450488
7,2014,COLORADO,CO,309,162.22,1084,569.1,0,0.0,1393,731.32,2000525
8,2016,COLORADO,CO,280,147.0,76,39.9,143,75.07,499,261.97,2701438
9,2018,COLORADO,CO,295,154.87,0,0.0,0,0.0,295,154.87,2513546
10,2020,COLORADO,CO,293,153.82,64,33.6,53,27.82,410,215.24,3164950
11,2022,COLORADO,CO,4681,2457.52,48,25.2,0,0.0,4729,2482.72,2472074
