,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total,totalvotes
0,2000,CONNECTICUT,CT,527,276.67,24,12.6,41,21.52,592,310.79,1313490
1,2002,CONNECTICUT,CT,217,113.92,0,0.0,0,0.0,217,113.92,989309
2,2004,CONNECTICUT,CT,294,154.35,21,11.02,68,35.7,383,201.07,1428738
3,2006,CONNECTICUT,CT,17797,9343.42,24,12.6,0,0.0,17821,9356.02,1074739
4,2008,CONNECTICUT,CT,276,144.9,0,0.0,32,16.8,308,161.70,1527399
5,2010,CONNECTICUT,CT,286,150.15,76,39.9,0,0.0,362,190.05,1138202
6,2012,CONNECTICUT,CT,320,168.0,50,26.25,41,21.52,411,215.77,1465511
7,2014,CONNECTICUT,CT,264,138.6,0,0.0,0,0.0,264,138.60,1067857
8,2016,CONNECTICUT,CT,147,77.17,29,15.22,52,27.3,228,119.69,1575183
9,2018,CONNECTICUT,CT,168,88.2,39,20.47,0,0.0,207,108.67,1379808
10,2020,CONNECTICUT,CT,186,97.65,0,0.0,35,18.38,221,116.03,1772927
11,2022,CONNECTICUT,CT,1026,538.65,47,24.67,0,0.0,1073,563.32,1261351
12,2024,CONNECTICUT,CT,251,131.77,38,19.95,49,25.72,338,177.44,1727031
