,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total,totalvotes
0,2000,FLORIDA,FL,699,366.97,145,76.12,77732,40809.3,78576,41252.39,5011220
1,2002,FLORIDA,FL,833,437.32,0,0.0,0,0.0,833,437.32,3766564
2,2004,FLORIDA,FL,394,206.85,630,330.75,140,73.5,1164,611.10,5627499
3,2006,FLORIDA,FL,4655,2443.87,32,16.8,0,0.0,4687,2460.67,3851947
4,2008,FLORIDA,FL,989,519.22,0,0.0,249,130.72,1238,649.94,7421174
5,2010,FLORIDA,FL,754,395.85,25,13.12,0,0.0,779,408.97,5117811
6,2012,FLORIDA,FL,2808,1474.2,54,28.35,799,419.48,3661,1922.03,7513536
7,2014,FLORIDA,FL,1374,721.35,0,0.0,0,0.0,1374,721.35,4998559
8,2016,FLORIDA,FL,1235,648.37,127,66.68,585,307.12,1947,1022.17,8837426
9,2018,FLORIDA,FL,1393,731.32,5715,3000.38,0,0.0,7108,3731.70,7021480
10,2020,FLORIDA,FL,1385,727.12,0,0.0,209,109.72,1594,836.84,10464790
11,2022,FLORIDA,FL,1086,570.15,43,22.58,0,0.0,1129,592.73,7332305
12,2024,FLORIDA,FL,1110,582.75,55,28.87,54,28.35,1219,639.97,10793163
