,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total,totalvotes
0,2000,IOWA,IA,160,84.0,0,0.0,2286,1200.15,2446,1284.15,1275934
1,2002,IOWA,IA,330,173.25,63,33.07,0,0.0,393,206.32,1012622
2,2004,IOWA,IA,223,117.07,17,8.92,1049,550.72,1289,676.71,1458161
3,2006,IOWA,IA,527,276.67,0,0.0,0,0.0,527,276.67,1032981
4,2008,IOWA,IA,178,93.45,28,14.7,74,38.85,280,147.00,1481807
5,2010,IOWA,IA,697,365.92,25,13.12,0,0.0,722,379.04,1106591
6,2012,IOWA,IA,265,139.12,0,0.0,121,63.52,386,202.64,1536849
7,2014,IOWA,IA,546,286.65,92,48.3,0,0.0,638,334.95,1120334
8,2016,IOWA,IA,271,142.27,33,17.32,75,39.38,379,198.97,1515555
9,2018,IOWA,IA,736,386.4,0,0.0,0,0.0,736,386.40,1316648
10,2020,IOWA,IA,350848,184195.2,163,85.57,86,45.15,351097,184325.92,1700268
11,2022,IOWA,IA,1208,634.2,58,30.45,0,0.0,1266,664.65,1230416
