,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total,totalvotes
0,2000,IDAHO,ID,37,19.42,0,0.0,18,9.45,55,28.87,492835
1,2002,IDAHO,ID,54,28.35,24,12.6,0,0.0,78,40.95,405023
2,2004,IDAHO,ID,35,18.38,8,4.2,19,9.98,62,32.56,572426
3,2006,IDAHO,ID,164,86.1,0,0.0,0,0.0,164,86.10,445306
4,2008,IDAHO,ID,601,315.52,32,16.8,28,14.7,661,347.02,637852
5,2010,IDAHO,ID,89,46.72,16,8.4,0,0.0,105,55.12,447144
6,2012,IDAHO,ID,46,24.15,0,0.0,22,11.55,68,35.70,635218
7,2014,IDAHO,ID,55,28.87,23,12.08,0,0.0,78,40.95,435157
8,2016,IDAHO,ID,41,21.52,19,9.98,23,12.08,83,43.58,681594
9,2018,IDAHO,ID,55,28.87,0,0.0,0,0.0,55,28.87,595724
10,2020,IDAHO,ID,40,21.0,24,12.6,23,12.08,87,45.68,849909
11,2022,IDAHO,ID,42,22.05,22,11.55,0,0.0,64,33.60,583628
