,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total,totalvotes
0,2000,INDIANA,IN,537,281.92,22,11.55,45,23.62,604,317.09,2156744
1,2002,INDIANA,IN,602,316.05,0,0.0,0,0.0,602,316.05,1521353
2,2004,INDIANA,IN,2061,1082.02,28,14.7,34,17.85,2123,1114.57,2416251
3,2006,INDIANA,IN,554,290.85,10,5.25,0,0.0,564,296.10,1666922
4,2008,INDIANA,IN,249,130.72,0,0.0,679,356.48,928,487.20,2676850
5,2010,INDIANA,IN,757,397.42,77,40.42,0,0.0,834,437.84,1747720
6,2012,INDIANA,IN,784,411.6,62,32.55,69,36.22,915,480.37,2553746
7,2014,INDIANA,IN,251,131.77,0,0.0,0,0.0,251,131.77,1341814
8,2016,INDIANA,IN,226,118.65,166,87.15,37,19.42,429,225.22,2658367
9,2018,INDIANA,IN,324,170.1,477,250.42,0,0.0,801,420.52,2256149
10,2020,INDIANA,IN,385,202.12,0,0.0,44,23.1,429,225.22,2996444
11,2022,INDIANA,IN,304,159.6,34,17.85,0,0.0,338,177.45,1856549
12,2024,INDIANA,IN,0,0.0,35,18.38,38,19.95,73,38.33,2900315
