,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total,totalvotes
0,2000,KANSAS,KS,311,163.27,0,0.0,34,17.85,345,181.12,1035961
1,2002,KANSAS,KS,283,148.57,10,5.25,0,0.0,293,153.82,829890
2,2004,KANSAS,KS,137,71.92,18,9.45,28,14.7,183,96.07,1156383
3,2006,KANSAS,KS,259,135.97,0,0.0,0,0.0,259,135.97,845127
4,2008,KANSAS,KS,236,123.9,33,17.32,47,24.67,316,165.89,1208302
5,2010,KANSAS,KS,105,55.12,17,8.92,0,0.0,122,64.04,835529
6,2012,KANSAS,KS,81,42.52,0,0.0,33,17.32,114,59.84,1057739
7,2014,KANSAS,KS,115,60.37,15,7.87,0,0.0,130,68.24,862077
8,2016,KANSAS,KS,132,69.3,29,15.22,34,17.85,195,102.37,1173736
9,2018,KANSAS,KS,1007,528.67,0,0.0,0,0.0,1007,528.67,1050322
10,2020,KANSAS,KS,161,84.52,109,57.22,48,25.2,318,166.94,1358953
11,2022,KANSAS,KS,152,79.8,31,16.27,0,0.0,183,96.07,1001817
12,2024,KANSAS,KS,0,0.0,0,0.0,44,23.1,44,23.10,1273453
