,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total
0,2000,LOUISIANA,LA,84,44.1,0,0.0,92,48.3,176,92.40
1,2002,LOUISIANA,LA,1240,651.0,414,217.35,0,0.0,1654,868.35
2,2004,LOUISIANA,LA,1529,802.72,33,17.32,49,25.72,1611,845.76
3,2006,LOUISIANA,LA,259,135.97,0,0.0,0,0.0,259,135.97
4,2008,LOUISIANA,LA,2149,1128.22,96,50.4,38,19.95,2283,1198.57
5,2010,LOUISIANA,LA,121,63.52,40,21.0,0,0.0,161,84.52
6,2012,LOUISIANA,LA,110,57.75,0,0.0,41,21.52,151,79.27
7,2014,LOUISIANA,LA,104,54.6,179,93.98,0,0.0,283,148.58
8,2016,LOUISIANA,LA,136,71.4,79,41.47,36,18.9,251,131.77
9,2018,LOUISIANA,LA,100,52.5,0,0.0,0,0.0,100,52.50
10,2020,LOUISIANA,LA,112,58.8,18,9.45,38,19.95,168,88.20
11,2022,LOUISIANA,LA,74,38.85,17,8.92,0,0.0,91,47.77
12,2024,LOUISIANA,LA,0,0.0,0,0.0,32,16.8,32,16.80
