,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total,totalvotes
0,2000,MASSACHUSETTS,MA,77,40.42,11,5.78,26,13.65,114,59.85,2733972
1,2002,MASSACHUSETTS,MA,86,45.15,8,4.2,0,0.0,94,49.35,2220326
2,2004,MASSACHUSETTS,MA,139,72.97,0,0.0,28,14.7,167,87.67,2927455
3,2006,MASSACHUSETTS,MA,75,39.37,19,9.98,0,0.0,94,49.35,2243835
4,2008,MASSACHUSETTS,MA,65,34.12,20,10.5,28,14.7,113,59.32,3102995
5,2010,MASSACHUSETTS,MA,486,255.15,0,0.0,0,0.0,486,255.15,2224255
6,2012,MASSACHUSETTS,MA,817,428.92,94,49.35,31,16.27,942,494.54,3184196
7,2014,MASSACHUSETTS,MA,148,77.7,31,16.27,0,0.0,179,93.97,2186789
8,2016,MASSACHUSETTS,MA,130,68.25,0,0.0,27,14.18,157,82.43,3378801
9,2018,MASSACHUSETTS,MA,119,62.47,29,15.22,0,0.0,148,77.69,2485081
10,2020,MASSACHUSETTS,MA,159,83.47,22,11.55,22,11.55,203,106.57,3658005
11,2022,MASSACHUSETTS,MA,195,102.37,0,0.0,0,0.0,195,102.37,2511461
12,2024,MASSACHUSETTS,MA,0,0.0,36,18.9,29,15.22,65,34.12,3377853
