,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total,totalvotes
0,2000,MARYLAND,MD,251,131.77,27,14.18,43,22.58,321,168.53,1926764
1,2002,MARYLAND,MD,355,186.37,0,0.0,0,0.0,355,186.37,1659113
2,2004,MARYLAND,MD,138,72.45,23,12.08,54,28.35,215,112.88,2253520
3,2006,MARYLAND,MD,140,73.5,70,36.75,0,0.0,210,110.25,1701202
4,2008,MARYLAND,MD,996,522.9,0,0.0,28,14.7,1024,537.60,2497952
5,2010,MARYLAND,MD,198,103.95,27,14.18,0,0.0,225,118.13,1825472
6,2012,MARYLAND,MD,160,84.0,23,12.08,27,14.18,210,110.26,2585514
7,2014,MARYLAND,MD,675,354.37,0,0.0,0,0.0,675,354.37,1703037
8,2016,MARYLAND,MD,187,98.17,28,14.7,27,14.18,242,127.05,2707745
9,2018,MARYLAND,MD,166,87.15,20,10.5,0,0.0,186,97.65,2286120
10,2020,MARYLAND,MD,168,88.2,0,0.0,22,11.55,190,99.75,2954170
11,2022,MARYLAND,MD,263,138.07,23,12.08,0,0.0,286,150.15,1995728
12,2024,MARYLAND,MD,268,140.7,60,31.5,25,13.12,353,185.32,2938127
