,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total
0,2000,MAINE,ME,46,24.15,19,9.98,137,71.92,202,106.05
1,2002,MAINE,ME,201,105.52,42,22.05,0,0.0,243,127.57
2,2004,MAINE,ME,75,39.37,0,0.0,78,40.95,153,80.32
3,2006,MAINE,ME,42,22.05,14,7.35,0,0.0,56,29.40
4,2008,MAINE,ME,93,48.82,31,16.27,41,21.52,165,86.61
5,2010,MAINE,ME,121,63.52,0,0.0,0,0.0,121,63.52
6,2012,MAINE,ME,68,35.7,42,22.05,47,24.67,157,82.42
7,2014,MAINE,ME,157,82.42,20,10.5,0,0.0,177,92.92
8,2016,MAINE,ME,117,61.42,0,0.0,245,128.62,362,190.04
9,2018,MAINE,ME,611,320.77,29,15.22,0,0.0,640,335.99
10,2020,MAINE,ME,146,76.65,83,43.58,79,41.47,308,161.70
11,2022,MAINE,ME,326,171.15,0,0.0,0,0.0,326,171.15
12,2024,MAINE,ME,0,0.0,41,21.52,105,55.12,146,76.64
