,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total,totalvotes
0,2000,MINNESOTA,MN,7597,3988.42,121,63.52,292,153.3,8010,4205.24,2363738
1,2002,MINNESOTA,MN,224,117.6,320,168.0,0,0.0,544,285.60,2201638
2,2004,MINNESOTA,MN,274,143.85,0,0.0,202,106.05,476,249.90,2721681
3,2006,MINNESOTA,MN,362,190.05,35,18.38,0,0.0,397,208.43,2178974
4,2008,MINNESOTA,MN,469,246.22,1420,745.5,69,36.22,1958,1027.94,2802614
5,2010,MINNESOTA,MN,774,406.35,0,0.0,0,0.0,774,406.35,2090701
6,2012,MINNESOTA,MN,904,474.6,21,11.02,91,47.78,1016,533.40,2813383
7,2014,MINNESOTA,MN,814,427.35,60,31.5,0,0.0,874,458.85,1963539
8,2016,MINNESOTA,MN,2814,1477.35,0,0.0,461,242.02,3275,1719.37,2860389
9,2018,MINNESOTA,MN,2297,1205.92,39,20.47,0,0.0,2336,1226.39,2576996
10,2020,MINNESOTA,MN,745,391.12,134,70.35,99,51.97,978,513.44,3193809
11,2022,MINNESOTA,MN,361,189.52,0,0.0,0,0.0,361,189.52,2495832
12,2024,MINNESOTA,MN,260,136.5,45,23.62,167,87.68,472,247.80,3176011
