,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total,totalvotes
0,2000,MISSOURI,MO,385,202.12,280,147.0,210,110.25,875,459.37,2325788
1,2002,MISSOURI,MO,186,97.65,4519,2372.48,0,0.0,4705,2470.13,1853563
2,2004,MISSOURI,MO,282,148.05,56,29.4,98,51.45,436,228.90,2667023
3,2006,MISSOURI,MO,198,103.95,156,81.9,0,0.0,354,185.85,2097322
4,2008,MISSOURI,MO,451,236.77,0,0.0,5247,2754.68,5698,2991.45,2821484
5,2010,MISSOURI,MO,635,333.37,67,35.17,0,0.0,702,368.54,1920675
6,2012,MISSOURI,MO,184,96.6,33,17.32,75,39.38,292,153.30,2675900
7,2014,MISSOURI,MO,236,123.9,0,0.0,0,0.0,236,123.90,1426303
8,2016,MISSOURI,MO,167,87.67,1865,979.12,38,19.95,2070,1086.74,2750079
9,2018,MISSOURI,MO,314,164.85,150,78.75,0,0.0,464,243.60,2418413
10,2020,MISSOURI,MO,244,128.1,0,0.0,46,24.15,290,152.25,2973421
11,2022,MISSOURI,MO,190,99.75,53,27.82,0,0.0,243,127.57,2060089
12,2024,MISSOURI,MO,190,99.75,51,26.78,39,20.47,280,147.00,2929826
