,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total,totalvotes
0,2000,MISSISSIPPI,MS,104,54.6,21,11.02,42,22.05,167,87.67,986139
1,2002,MISSISSIPPI,MS,110,57.75,9,4.72,0,0.0,119,62.47,677636
2,2004,MISSISSIPPI,MS,88,46.2,0,0.0,38,19.95,126,66.15,1116203
3,2006,MISSISSIPPI,MS,70,36.75,26,13.65,0,0.0,96,50.40,600697
4,2008,MISSISSIPPI,MS,129,67.72,31,16.27,54,28.35,214,112.34,1264747
5,2010,MISSISSIPPI,MS,237,124.42,0,0.0,0,0.0,237,124.42,788549
6,2012,MISSISSIPPI,MS,82,43.05,43,22.58,61,32.02,186,97.65,1208175
7,2014,MISSISSIPPI,MS,69,36.22,32,16.8,0,0.0,101,53.02,626279
8,2016,MISSISSIPPI,MS,76,39.9,0,0.0,40,21.0,116,60.90,1182273
9,2018,MISSISSIPPI,MS,82,43.05,58,30.45,0,0.0,140,73.50,938903
10,2020,MISSISSIPPI,MS,72,37.8,86,45.15,43,22.58,201,105.53,1227846
11,2022,MISSISSIPPI,MS,83,43.57,0,0.0,0,0.0,83,43.57,709100
