,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total
0,2000,MONTANA,MT,135,70.87,212,111.3,28,14.7,375,196.87
1,2002,MONTANA,MT,22,11.55,21,11.02,0,0.0,43,22.57
2,2004,MONTANA,MT,23,12.07,0,0.0,35,18.38,58,30.45
3,2006,MONTANA,MT,36,18.9,205,107.62,0,0.0,241,126.52
4,2008,MONTANA,MT,23,12.07,16,8.4,310,162.75,349,183.22
5,2010,MONTANA,MT,27,14.17,0,0.0,0,0.0,27,14.17
6,2012,MONTANA,MT,68,35.7,69,36.22,52,27.3,189,99.22
7,2014,MONTANA,MT,47,24.67,45,23.62,0,0.0,92,48.29
8,2016,MONTANA,MT,45,23.62,0,0.0,35,18.38,80,42.00
9,2018,MONTANA,MT,149,78.22,109,57.22,0,0.0,258,135.44
10,2020,MONTANA,MT,55,28.87,70,36.75,43,22.58,168,88.20
11,2022,MONTANA,MT,247,129.67,0,0.0,0,0.0,247,129.67
12,2024,MONTANA,MT,0,0.0,99,51.97,36,18.9,135,70.87
