,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total
0,2000,NORTH CAROLINA,NC,336,176.4,0,0.0,55,28.87,391,205.27
1,2002,NORTH CAROLINA,NC,389,204.22,98,51.45,0,0.0,487,255.67
2,2004,NORTH CAROLINA,NC,408,214.2,219,114.98,57,29.92,684,359.10
3,2006,NORTH CAROLINA,NC,3846,2019.15,0,0.0,0,0.0,3846,2019.15
4,2008,NORTH CAROLINA,NC,376,197.4,61,32.02,2129,1117.72,2566,1347.14
5,2010,NORTH CAROLINA,NC,1392,730.8,73,38.32,0,0.0,1465,769.12
6,2012,NORTH CAROLINA,NC,4047,2124.67,0,0.0,343,180.08,4390,2304.75
7,2014,NORTH CAROLINA,NC,349,183.22,322,169.05,0,0.0,671,352.27
8,2016,NORTH CAROLINA,NC,440,231.0,330,173.25,192,100.8,962,505.05
9,2018,NORTH CAROLINA,NC,2345,1231.12,0,0.0,0,0.0,2345,1231.12
10,2020,NORTH CAROLINA,NC,514,269.85,505,265.12,520,273.0,1539,807.97
11,2022,NORTH CAROLINA,NC,821,431.02,217,113.92,0,0.0,1038,544.94
12,2024,NORTH CAROLINA,NC,0,0.0,0,0.0,219,114.98,219,114.98
