,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total,totalvotes
0,2000,NORTH DAKOTA,ND,84,44.1,31,16.27,26,13.65,141,74.02,285658
1,2002,NORTH DAKOTA,ND,146,76.65,0,0.0,0,0.0,146,76.65,231030
2,2004,NORTH DAKOTA,ND,37,19.42,20,10.5,26,13.65,83,43.57,310814
3,2006,NORTH DAKOTA,ND,23,12.07,18,9.45,0,0.0,41,21.52,217621
4,2008,NORTH DAKOTA,ND,30,15.75,0,0.0,82,43.05,112,58.80,313965
5,2010,NORTH DAKOTA,ND,0,0.0,14,7.35,0,0.0,14,7.35,236344
6,2012,NORTH DAKOTA,ND,54,28.35,766,402.15,36,18.9,856,449.40,316224
7,2014,NORTH DAKOTA,ND,42,22.05,0,0.0,0,0.0,42,22.05,248670
8,2016,NORTH DAKOTA,ND,16,8.4,12,6.3,20,10.5,48,25.20,338459
9,2018,NORTH DAKOTA,ND,29,15.22,65,34.12,0,0.0,94,49.34,321532
10,2020,NORTH DAKOTA,ND,17,8.92,0,0.0,21,11.02,38,19.94,355598
11,2022,NORTH DAKOTA,ND,29,15.22,23,12.08,0,0.0,52,27.30,238586
12,2024,NORTH DAKOTA,ND,18,9.45,22,11.55,20,10.5,60,31.50,358832
