,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total,totalvotes
0,2000,NEBRASKA,NE,52,27.3,321,168.52,25,13.12,398,208.94,683071
1,2002,NEBRASKA,NE,43,22.57,11,5.78,0,0.0,54,28.35,473814
2,2004,NEBRASKA,NE,101,53.02,0,0.0,22,11.55,123,64.57,764972
3,2006,NEBRASKA,NE,187,98.17,26,13.65,0,0.0,213,111.82,596087
4,2008,NEBRASKA,NE,217,113.92,41,21.52,47,24.67,305,160.11,775398
5,2010,NEBRASKA,NE,64,33.6,0,0.0,0,0.0,64,33.60,485546
6,2012,NEBRASKA,NE,327,171.67,46,24.15,33,17.32,406,213.14,772515
7,2014,NEBRASKA,NE,246,129.15,22,11.55,0,0.0,268,140.70,535530
8,2016,NEBRASKA,NE,609,319.72,0,0.0,28,14.7,637,334.42,788266
9,2018,NEBRASKA,NE,398,208.95,46,24.15,0,0.0,444,233.10,696570
10,2020,NEBRASKA,NE,198,103.95,22,11.55,37,19.42,257,134.92,941298
11,2022,NEBRASKA,NE,290,152.25,0,0.0,0,0.0,290,152.25,663187
12,2024,NEBRASKA,NE,0,0.0,107,56.18,34,17.85,141,74.03,934811
