,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total
0,2000,NEW HAMPSHIRE,NH,136,71.4,0,0.0,553,290.32,689,361.72
1,2002,NEW HAMPSHIRE,NH,80,42.0,316,165.9,0,0.0,396,207.90
2,2004,NEW HAMPSHIRE,NH,62,32.55,22,11.55,512,268.8,596,312.90
3,2006,NEW HAMPSHIRE,NH,369,193.72,0,0.0,0,0.0,369,193.72
4,2008,NEW HAMPSHIRE,NH,166,87.15,75,39.38,73,38.32,314,164.85
5,2010,NEW HAMPSHIRE,NH,528,277.2,32,16.8,0,0.0,560,294.00
6,2012,NEW HAMPSHIRE,NH,328,172.2,0,0.0,126,66.15,454,238.35
7,2014,NEW HAMPSHIRE,NH,265,139.12,216,113.4,0,0.0,481,252.52
8,2016,NEW HAMPSHIRE,NH,695,364.87,381,200.02,1905,1000.12,2981,1565.01
9,2018,NEW HAMPSHIRE,NH,135,70.87,0,0.0,0,0.0,135,70.87
10,2020,NEW HAMPSHIRE,NH,207,108.67,39,20.47,96,50.4,342,179.54
11,2022,NEW HAMPSHIRE,NH,147,77.17,78,40.95,0,0.0,225,118.12
12,2024,NEW HAMPSHIRE,NH,0,0.0,0,0.0,251,131.78,251,131.78
