,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total
0,2000,NEW JERSEY,NJ,570,299.25,233,122.32,45,23.62,848,445.19
1,2002,NEW JERSEY,NJ,273,143.32,67,35.17,0,0.0,340,178.49
2,2004,NEW JERSEY,NJ,307,161.17,0,0.0,105,55.12,412,216.29
3,2006,NEW JERSEY,NJ,751,394.27,73,38.32,0,0.0,824,432.59
4,2008,NEW JERSEY,NJ,513,269.32,48,25.2,45,23.62,606,318.14
5,2010,NEW JERSEY,NJ,648,340.2,0,0.0,0,0.0,648,340.20
6,2012,NEW JERSEY,NJ,368,193.2,36,18.9,40,21.0,444,233.10
7,2014,NEW JERSEY,NJ,386,202.65,49,25.72,0,0.0,435,228.37
8,2016,NEW JERSEY,NJ,470,246.75,0,0.0,50,26.25,520,273.00
9,2018,NEW JERSEY,NJ,1035,543.37,60,31.5,0,0.0,1095,574.87
10,2020,NEW JERSEY,NJ,1160,609.0,43,22.58,44,23.1,1247,654.68
11,2022,NEW JERSEY,NJ,658,345.45,0,0.0,0,0.0,658,345.45
12,2024,NEW JERSEY,NJ,0,0.0,74,38.85,119,62.47,193,101.32
