,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total
0,2000,NEW MEXICO,NM,165,86.62,30,15.75,11449,6010.72,11644,6113.09
1,2002,NEW MEXICO,NM,122,64.05,24,12.6,0,0.0,146,76.65
2,2004,NEW MEXICO,NM,134,70.35,0,0.0,885,464.62,1019,534.97
3,2006,NEW MEXICO,NM,1803,946.57,17,8.92,0,0.0,1820,955.49
4,2008,NEW MEXICO,NM,148,77.7,31,16.27,47,24.67,226,118.64
5,2010,NEW MEXICO,NM,311,163.27,0,0.0,0,0.0,311,163.27
6,2012,NEW MEXICO,NM,105,55.12,123,64.58,69,36.22,297,155.92
7,2014,NEW MEXICO,NM,97,50.92,63,33.07,0,0.0,160,83.99
8,2016,NEW MEXICO,NM,81,42.52,0,0.0,86,45.15,167,87.67
9,2018,NEW MEXICO,NM,442,232.05,18,9.45,0,0.0,460,241.50
10,2020,NEW MEXICO,NM,179,93.97,80,42.0,65,34.12,324,170.09
11,2022,NEW MEXICO,NM,1271,667.27,0,0.0,0,0.0,1271,667.27
12,2024,NEW MEXICO,NM,0,0.0,69,36.22,117,61.42,186,97.64
