,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total
0,2000,NEW YORK,NY,632,331.8,58,30.45,29,15.22,719,377.47
1,2002,NEW YORK,NY,888,466.2,0,0.0,0,0.0,888,466.20
2,2004,NEW YORK,NY,1104,579.6,19,9.98,38,19.95,1161,609.53
3,2006,NEW YORK,NY,1687,885.67,22,11.55,0,0.0,1709,897.22
4,2008,NEW YORK,NY,1072,562.8,0,0.0,25,13.12,1097,575.92
5,2010,NEW YORK,NY,5322,2794.05,20,10.5,0,0.0,5342,2804.55
6,2012,NEW YORK,NY,2118,1111.95,17,8.92,24,12.6,2159,1133.47
7,2014,NEW YORK,NY,2476,1299.9,0,0.0,0,0.0,2476,1299.90
8,2016,NEW YORK,NY,869,456.22,18,9.45,30,15.75,917,481.42
9,2018,NEW YORK,NY,3826,2008.65,21,11.02,0,0.0,3847,2019.67
10,2020,NEW YORK,NY,18441,9681.52,0,0.0,31,16.27,18472,9697.79
11,2022,NEW YORK,NY,3652,1917.3,50,26.25,0,0.0,3702,1943.55
12,2024,NEW YORK,NY,0,0.0,42,22.05,60,31.5,102,53.55
