,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total,totalvotes
0,2000,OKLAHOMA,OK,157,82.42,0,0.0,32,16.8,189,99.22,1087515
1,2002,OKLAHOMA,OK,198,103.95,34,17.85,0,0.0,232,121.80,1001852
2,2004,OKLAHOMA,OK,100,52.5,61,32.02,23,12.08,184,96.60,1374610
3,2006,OKLAHOMA,OK,113,59.32,0,0.0,0,0.0,113,59.32,905194
4,2008,OKLAHOMA,OK,99,51.97,41,21.52,23,12.08,163,85.57,1336927
5,2010,OKLAHOMA,OK,106,55.65,16,8.4,0,0.0,122,64.05,792980
6,2012,OKLAHOMA,OK,124,65.1,0,0.0,21,11.02,145,76.12,1325935
7,2014,OKLAHOMA,OK,75,39.37,18,9.45,0,0.0,93,48.82,653414
8,2016,OKLAHOMA,OK,87,45.67,18,9.45,20,10.5,125,65.62,1133245
9,2018,OKLAHOMA,OK,598,313.95,0,0.0,0,0.0,598,313.95,1178836
10,2020,OKLAHOMA,OK,235,123.37,26,13.65,22,11.55,283,148.57,1551383
11,2022,OKLAHOMA,OK,111,58.27,22,11.55,0,0.0,133,69.82,1146311
