,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total,totalvotes
0,2000,PENNSYLVANIA,PA,666,349.65,118,61.95,168,88.2,952,499.80,4552010
1,2002,PENNSYLVANIA,PA,1014,532.35,0,0.0,0,0.0,1014,532.35,3310313
2,2004,PENNSYLVANIA,PA,754,395.85,77,40.42,280,147.0,1111,583.27,5151135
3,2006,PENNSYLVANIA,PA,2458,1290.45,41,21.52,0,0.0,2499,1311.97,4013388
4,2008,PENNSYLVANIA,PA,1190,624.75,0,0.0,68,35.7,1258,660.45,5787854
5,2010,PENNSYLVANIA,PA,1592,835.8,348,182.7,0,0.0,1940,1018.50,3956401
6,2012,PENNSYLVANIA,PA,787,413.17,65,34.12,130,68.25,982,515.54,5556330
7,2014,PENNSYLVANIA,PA,457,239.92,0,0.0,0,0.0,457,239.92,3323533
8,2016,PENNSYLVANIA,PA,558,292.95,286,150.15,967,507.67,1811,950.77,5743978
9,2018,PENNSYLVANIA,PA,1206,633.15,51,26.78,0,0.0,1257,659.93,4929875
10,2020,PENNSYLVANIA,PA,1181,620.02,0,0.0,601,315.52,1782,935.54,6779307
11,2022,PENNSYLVANIA,PA,1207,633.67,143,75.07,0,0.0,1350,708.74,5152001
12,2024,PENNSYLVANIA,PA,0,0.0,3500,1837.5,412,216.3,3912,2053.80,6966738
