,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total
0,2000,RHODE ISLAND,RI,39,20.47,45,23.62,25,13.12,109,57.21
1,2002,RHODE ISLAND,RI,45,23.62,13,6.82,0,0.0,58,30.44
2,2004,RHODE ISLAND,RI,39,20.47,0,0.0,34,17.85,73,38.32
3,2006,RHODE ISLAND,RI,32,16.8,100,52.5,0,0.0,132,69.30
4,2008,RHODE ISLAND,RI,34,17.85,16,8.4,26,13.65,76,39.90
5,2010,RHODE ISLAND,RI,142,74.55,0,0.0,0,0.0,142,74.55
6,2012,RHODE ISLAND,RI,93,48.82,24,12.6,26,13.65,143,75.07
7,2014,RHODE ISLAND,RI,66,34.65,17,8.92,0,0.0,83,43.57
8,2016,RHODE ISLAND,RI,50,26.25,0,0.0,46,24.15,96,50.40
9,2018,RHODE ISLAND,RI,47,24.67,31,16.27,0,0.0,78,40.94
10,2020,RHODE ISLAND,RI,55,28.87,22,11.55,34,17.85,111,58.27
11,2022,RHODE ISLAND,RI,215,112.87,0,0.0,0,0.0,215,112.87
12,2024,RHODE ISLAND,RI,0,0.0,35,18.38,51,26.78,86,45.16
