,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total,totalvotes
0,2000,SOUTH CAROLINA,SC,152,79.8,0,0.0,44,23.1,196,102.90,1321312
1,2002,SOUTH CAROLINA,SC,87,45.67,73,38.32,0,0.0,160,83.99,984415
2,2004,SOUTH CAROLINA,SC,98,51.45,79,41.47,41,21.52,218,114.44,1439118
3,2006,SOUTH CAROLINA,SC,185,97.12,0,0.0,0,0.0,185,97.12,1086206
4,2008,SOUTH CAROLINA,SC,373,195.82,46,24.15,78,40.95,497,260.92,1873890
5,2010,SOUTH CAROLINA,SC,237,124.42,21,11.02,0,0.0,258,135.44,1340189
6,2012,SOUTH CAROLINA,SC,213,111.82,0,0.0,67,35.17,280,146.99,1802734
7,2014,SOUTH CAROLINA,SC,121,63.52,33,17.32,0,0.0,154,80.84,1155782
8,2016,SOUTH CAROLINA,SC,182,95.55,29,15.22,50,26.25,261,137.02,2011746
9,2018,SOUTH CAROLINA,SC,701,368.02,0,0.0,0,0.0,701,368.02,1709292
10,2020,SOUTH CAROLINA,SC,723,379.57,69,36.22,60,31.5,852,447.29,2505442
11,2022,SOUTH CAROLINA,SC,177,92.92,28,14.7,0,0.0,205,107.62,1602341
12,2024,SOUTH CAROLINA,SC,208,109.2,0,0.0,40,21.0,248,130.20,2512199
