,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total,totalvotes
0,2000,SOUTH DAKOTA,SD,15,7.87,0,0.0,31,16.27,46,24.14,314761
1,2002,SOUTH DAKOTA,SD,90,47.25,656,344.4,0,0.0,746,391.65,336691
2,2004,SOUTH DAKOTA,SD,94,49.35,608,319.2,33,17.32,735,385.87,389468
3,2006,SOUTH DAKOTA,SD,18,9.45,0,0.0,0,0.0,18,9.45,333562
4,2008,SOUTH DAKOTA,SD,20,10.5,29,15.22,84,44.1,133,69.82,379007
5,2010,SOUTH DAKOTA,SD,319,167.47,7,3.68,0,0.0,326,171.15,319426
6,2012,SOUTH DAKOTA,SD,47,24.67,0,0.0,39,20.47,86,45.14,361429
7,2014,SOUTH DAKOTA,SD,22,11.55,34,17.85,0,0.0,56,29.40,276319
8,2016,SOUTH DAKOTA,SD,25,13.12,17,8.92,24,12.6,66,34.64,369973
9,2018,SOUTH DAKOTA,SD,29,15.22,0,0.0,0,0.0,29,15.22,335471
10,2020,SOUTH DAKOTA,SD,12,6.3,23,12.08,27,14.18,62,32.56,397732
11,2022,SOUTH DAKOTA,SD,13,6.82,17,8.92,0,0.0,30,15.74,327841
12,2024,SOUTH DAKOTA,SD,16,8.4,0,0.0,24,12.6,40,21.00,418940
