,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total
0,2000,TENNESSEE,TN,131,68.77,22,11.55,182,95.55,335,175.87
1,2002,TENNESSEE,TN,249,130.72,71,37.28,0,0.0,320,168.00
2,2004,TENNESSEE,TN,179,93.97,0,0.0,50,26.25,229,120.22
3,2006,TENNESSEE,TN,179,93.97,258,135.45,0,0.0,437,229.42
4,2008,TENNESSEE,TN,143,75.07,21,11.02,47,24.67,211,110.76
5,2010,TENNESSEE,TN,219,114.97,0,0.0,0,0.0,219,114.97
6,2012,TENNESSEE,TN,197,103.42,21,11.02,35,18.38,253,132.82
7,2014,TENNESSEE,TN,171,89.77,24,12.6,0,0.0,195,102.37
8,2016,TENNESSEE,TN,156,81.9,0,0.0,27,14.18,183,96.08
9,2018,TENNESSEE,TN,172,90.3,65,34.12,0,0.0,237,124.42
10,2020,TENNESSEE,TN,145,76.12,26,13.65,31,16.27,202,106.04
11,2022,TENNESSEE,TN,204,107.1,0,0.0,0,0.0,204,107.10
12,2024,TENNESSEE,TN,0,0.0,24,12.6,24,12.6,48,25.20
