,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total,totalvotes
0,2000,TEXAS,TX,720,378.0,23,12.08,33,17.32,776,407.40,5985763
1,2002,TEXAS,TX,1066,559.65,63,33.07,0,0.0,1129,592.72,4295210
2,2004,TEXAS,TX,910,477.75,0,0.0,31,16.27,941,494.02,6958603
3,2006,TEXAS,TX,849,445.72,30,15.75,0,0.0,879,461.47,4374096
4,2008,TEXAS,TX,871,457.27,73,38.32,60,31.5,1004,527.09,7528622
5,2010,TEXAS,TX,1661,872.02,0,0.0,0,0.0,1661,872.02,4745545
6,2012,TEXAS,TX,933,489.82,51,26.78,45,23.62,1029,540.22,7664208
7,2014,TEXAS,TX,974,511.35,29,15.22,0,0.0,1003,526.57,4453499
8,2016,TEXAS,TX,1325,695.62,0,0.0,78,40.95,1403,736.57,8528526
9,2018,TEXAS,TX,3514,1844.85,393,206.32,0,0.0,3907,2051.17,8202708
10,2020,TEXAS,TX,2416,1268.4,91,47.78,126,66.15,2633,1382.33,11093626
11,2022,TEXAS,TX,914,479.85,0,0.0,0,0.0,914,479.85,7751761
12,2024,TEXAS,TX,1174,616.35,83,43.58,51,26.78,1308,686.71,11228847
