,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total,totalvotes
0,2000,VIRGINIA,VA,326,171.15,153,80.32,88,46.2,567,297.67,2421729
1,2002,VIRGINIA,VA,138,72.45,9,4.72,0,0.0,147,77.17,1516482
2,2004,VIRGINIA,VA,288,151.2,0,0.0,86,45.15,374,196.35,3004007
3,2006,VIRGINIA,VA,513,269.32,1779,933.97,0,0.0,2292,1203.29,2297236
4,2008,VIRGINIA,VA,3915,2055.38,22,11.55,112,58.8,4049,2125.73,3495355
5,2010,VIRGINIA,VA,2314,1214.85,0,0.0,0,0.0,2314,1214.85,2189841
6,2012,VIRGINIA,VA,436,228.9,119,62.47,181,95.02,736,386.39,3740455
7,2014,VIRGINIA,VA,300,157.5,216,113.4,0,0.0,516,270.90,2135331
8,2016,VIRGINIA,VA,403,211.57,0,0.0,132,69.3,535,280.87,3781568
9,2018,VIRGINIA,VA,1026,538.65,40,21.0,0,0.0,1066,559.65,3312956
10,2020,VIRGINIA,VA,857,449.92,58,30.45,70,36.75,985,517.12,4335436
11,2022,VIRGINIA,VA,688,361.2,0,0.0,0,0.0,688,361.20,3047729
