,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total,totalvotes
0,2000,VERMONT,VT,14,7.35,19,9.98,71,37.28,104,54.61,283366
1,2002,VERMONT,VT,22,11.55,0,0.0,0,0.0,22,11.55,225255
2,2004,VERMONT,VT,17,8.92,16,8.4,35,18.38,68,35.70,305008
3,2006,VERMONT,VT,81,42.52,22,11.55,0,0.0,103,54.07,262726
4,2008,VERMONT,VT,9,4.72,0,0.0,19,9.98,28,14.70,298151
5,2010,VERMONT,VT,22,11.55,21,11.02,0,0.0,43,22.57,238521
6,2012,VERMONT,VT,15,7.87,29,15.22,20,10.5,64,33.59,289931
7,2014,VERMONT,VT,21,11.02,0,0.0,0,0.0,21,11.02,191504
8,2016,VERMONT,VT,10,5.25,26,13.65,27,14.18,63,33.08,320467
9,2018,VERMONT,VT,0,0.0,26,13.65,0,0.0,26,13.65,272451
10,2020,VERMONT,VT,18,9.45,0,0.0,20,10.5,38,19.95,370968
11,2022,VERMONT,VT,21,11.02,18,9.45,0,0.0,39,20.47,291955
