,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total,totalvotes
0,2000,WASHINGTON,WA,433,227.32,258,135.45,126,66.15,817,428.92,2382411
1,2002,WASHINGTON,WA,390,204.75,0,0.0,0,0.0,390,204.75,1739116
2,2004,WASHINGTON,WA,348,182.7,53,27.82,98,51.45,499,261.97,2729995
3,2006,WASHINGTON,WA,448,235.2,39,20.47,0,0.0,487,255.67,2054056
4,2008,WASHINGTON,WA,304,159.6,0,0.0,41,21.52,345,181.12,2914463
5,2010,WASHINGTON,WA,822,431.55,149,78.22,0,0.0,971,509.77,2479409
6,2012,WASHINGTON,WA,362,190.05,34,17.85,48,25.2,444,233.10,3006266
7,2014,WASHINGTON,WA,715,375.37,0,0.0,0,0.0,715,375.37,2029600
8,2016,WASHINGTON,WA,386,202.65,39,20.47,45,23.62,470,246.74,3141035
9,2018,WASHINGTON,WA,520,273.0,42,22.05,0,0.0,562,295.05,3021951
10,2020,WASHINGTON,WA,491,257.77,0,0.0,37,19.42,528,277.19,3944233
11,2022,WASHINGTON,WA,1207,633.67,49,25.72,0,0.0,1256,659.39,3026173
