,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total,totalvotes
0,2000,WISCONSIN,WI,521,273.52,28,14.7,3187,1673.18,3736,1961.40,2506314
1,2002,WISCONSIN,WI,126,66.15,0,0.0,0,0.0,126,66.15,1637546
2,2004,WISCONSIN,WI,189,99.22,61,32.02,1843,967.58,2093,1098.82,2820613
3,2006,WISCONSIN,WI,469,246.22,19,9.98,0,0.0,488,256.20,2063413
4,2008,WISCONSIN,WI,236,123.9,0,0.0,51,26.78,287,150.68,2775174
5,2010,WISCONSIN,WI,450,236.25,145,76.12,0,0.0,595,312.37,2140482
6,2012,WISCONSIN,WI,288,151.2,92,48.3,103,54.08,483,253.58,2866050
7,2014,WISCONSIN,WI,240,126.0,0,0.0,0,0.0,240,126.00,2355580
8,2016,WISCONSIN,WI,172,90.3,1779,933.97,916,480.9,2867,1505.17,2773662
9,2018,WISCONSIN,WI,268,140.7,65,34.12,0,0.0,333,174.82,2571655
10,2020,WISCONSIN,WI,461,242.02,0,0.0,1117,586.42,1578,828.44,3238051
11,2022,WISCONSIN,WI,370,194.25,694,364.35,0,0.0,1064,558.60,2531324
12,2024,WISCONSIN,WI,0,0.0,778,408.45,875,459.37,1653,867.82,3365855
