,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total
0,2000,WEST VIRGINIA,WV,289,151.72,12,6.3,111,58.28,412,216.30
1,2002,WEST VIRGINIA,WV,53,27.82,27,14.18,0,0.0,80,42.00
2,2004,WEST VIRGINIA,WV,88,46.2,0,0.0,55,28.87,143,75.07
3,2006,WEST VIRGINIA,WV,93,48.82,13,6.82,0,0.0,106,55.64
4,2008,WEST VIRGINIA,WV,79,41.47,26,13.65,54,28.35,159,83.47
5,2010,WEST VIRGINIA,WV,953,500.32,70,36.75,0,0.0,1023,537.07
6,2012,WEST VIRGINIA,WV,136,71.4,30,15.75,27,14.18,193,101.33
7,2014,WEST VIRGINIA,WV,311,163.27,27,14.18,0,0.0,338,177.45
8,2016,WEST VIRGINIA,WV,78,40.95,0,0.0,17,8.92,95,49.87
9,2018,WEST VIRGINIA,WV,143,75.07,95,49.88,0,0.0,238,124.95
10,2020,WEST VIRGINIA,WV,63,33.07,18,9.45,18,9.45,99,51.97
11,2022,WEST VIRGINIA,WV,42,22.05,0,0.0,0,0.0,42,22.05
12,2024,WEST VIRGINIA,WV,0,0.0,18,9.45,17,8.92,35,18.37
