,year,state,state_po,num_ballots_house,procedural_cost_house,num_ballots_senate,procedural_cost_senate,num_ballots_president,procedural_cost_president,num_ballots_total,procedural_cost_total
0,2000,WYOMING,WY,19,9.97,15,7.87,18,9.45,52,27.29
1,2002,WYOMING,WY,29,15.22,16,8.4,0,0.0,45,23.62
2,2004,WYOMING,WY,53,27.82,0,0.0,18,9.45,71,37.27
3,2006,WYOMING,WY,1400,735.0,18,9.45,0,0.0,1418,744.45
4,2008,WYOMING,WY,72,37.8,15,7.87,22,11.55,109,57.22
5,2010,WYOMING,WY,16,8.4,0,0.0,0,0.0,16,8.40
6,2012,WYOMING,WY,16,8.4,14,7.35,18,9.45,48,25.20
7,2014,WYOMING,WY,16,8.4,14,7.35,0,0.0,30,15.75
8,2016,WYOMING,WY,23,12.07,0,0.0,16,8.4,39,20.47
9,2018,WYOMING,WY,21,11.02,21,11.02,0,0.0,42,22.04
10,2020,WYOMING,WY,16,8.4,0,0.0,17,8.92,33,17.32
11,2022,WYOMING,WY,16,8.4,0,0.0,0,0.0,16,8.40
12,2024,WYOMING,WY,0,0.0,14,7.35,16,8.4,30,15.75
